"","Zone","Region_Name","Aspect","number_fires","number_fires.aspect","mean_fs_BEC","mean_fs_BEC.aspect","min_fs_BEC","min_fs_BEC.aspect","max_fs_BEC","max_fs_BEC.aspect","FRI","FRI.aspect"
"129","Purcell","ESSFdkw","cool",18,17,45,39,0,0,467,300,2700,2700
"130","Purcell","ESSFdkw","warm",18,13,45,4,0,0,467,17,2700,4050
"131","Purcell","ESSFmm3","cool",12,12,110,77,0,0,622,516,1620,1350
"132","Purcell","ESSFmm3","warm",12,8,110,30,0,2,622,124,1620,1620
"133","Purcell","ESSFmmp","cool",4,4,26,16,0,0,69,69,8100,4050
"134","Purcell","ESSFmmp","warm",4,1,26,25,0,25,69,25,8100,8100
"135","Purcell","ESSFmmw","cool",5,5,66,43,3,0,166,163,4050,4050
"136","Purcell","ESSFmmw","warm",5,3,66,13,3,1,166,23,4050,4050
"137","Purcell","ESSFwh2","cool",13,13,25,16,0,0,89,88,1620,1620
"138","Purcell","ESSFwh2","warm",13,12,25,8,0,0,89,60,1620,1620
"139","Purcell","ESSFwm2","cool",16,15,55,26,0,0,208,119,2025,2025
"140","Purcell","ESSFwm2","warm",16,15,55,23,0,0,208,104,2025,2025
"141","Purcell","ESSFwmp","cool",4,4,12,12,0,0,29,28,8100,8100
"142","Purcell","ESSFwmp","warm",4,2,12,0,0,0,29,0,8100,Inf
"143","Purcell","ESSFwmw","cool",10,10,26,12,1,0,105,71,4050,4050
"144","Purcell","ESSFwmw","warm",10,10,26,9,1,0,105,51,4050,2700
"145","Purcell","ICHdm","cool",8,8,63,55,0,0,416,412,405,405
"146","Purcell","ICHdm","warm",8,7,63,3,0,0,416,16,405,253
"147","Purcell","ICHmk5","cool",1,1,74,74,74,74,74,74,4050,4050
"148","Purcell","ICHmw2","cool",2,2,42,40,24,20,61,60,2700,2700
"149","Purcell","ICHmw2","warm",2,2,42,2,24,1,61,3,2700,8100
"150","Purcell","IDFdk5","cool",3,3,70,4,1,0,346,16,1620,2700
"151","Purcell","IDFdk5","warm",3,3,70,55,1,0,346,323,1620,1620
"152","Purcell","IDFdm2","cool",6,4,275,31,0,0,1779,189,213,225
"153","Purcell","IDFdm2","warm",6,6,275,228,0,0,1779,1586,213,213
"154","Purcell","IDFxk","cool",1,1,11,5,0,0,23,11,81,81
"155","Purcell","IDFxk","warm",1,1,11,6,0,0,23,11,81,81
"156","Purcell","IMAun","cool",4,4,10,5,0,0,34,21,1620,2025
"157","Purcell","IMAun","warm",4,3,10,5,0,0,34,14,1620,231
"158","Purcell","MSdk","cool",20,20,94,83,0,0,638,536,1012,1012
"159","Purcell","MSdk","warm",20,16,94,9,0,0,638,98,1012,1012
"160","Purcell","MSdw","cool",3,3,586,423,1,1,2033,1694,231,231
"161","Purcell","MSdw","warm",3,2,586,15,1,0,2033,116,231,253
"162","Purcell","ESSFwcp","cool",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","Purcell","ESSFwcp","warm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","Purcell","ESSFwcw","cool",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","Purcell","ESSFwcw","warm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","Purcell","ICHmk5","warm",1,NA,74,NA,74,NA,74,NA,4050,NA
