"","Time","Zone","Region_Name","Aspect","mean_fs_BEC","mean_fs_BEC.aspect","min_fs_BEC","min_fs_BEC.aspect","max_fs_BEC","max_fs_BEC.aspect","FRI","FRI.aspect"
"152","Modern","Elk","ESSFdk1","warm",209,14,0,0,10508,487,476,405
"153","Modern","Elk","ESSFdk2","cool",186,86,0,0,3951,2097,450,476
"154","Modern","Elk","ESSFdk2","warm",186,46,0,0,3951,557,450,300
"155","Modern","Elk","ESSFdkp","cool",28,27,0,0,226,223,386,386
"156","Modern","Elk","ESSFdkp","warm",28,0,0,0,226,2,386,736
"157","Modern","Elk","ESSFdkw","cool",62,30,0,0,1162,544,579,579
"158","Modern","Elk","ESSFdkw","warm",62,24,0,0,1162,627,579,579
"159","Modern","Elk","ESSFwm1","cool",213,105,0,0,1440,1094,368,386
"160","Modern","Elk","ESSFwm1","warm",213,44,0,0,1440,337,368,338
"161","Modern","Elk","ESSFwmp","cool",22,21,2,0,65,64,219,198
"162","Modern","Elk","ESSFwmp","warm",22,2,2,0,65,5,219,540
"163","Modern","Elk","ESSFwmw","cool",89,43,0,0,1133,792,312,279
"164","Modern","Elk","ESSFwmw","warm",89,28,0,0,1133,311,312,386
"165","Modern","Elk","ICHdm","cool",41,29,4,0,79,70,1620,2025
"166","Modern","Elk","ICHdm","warm",41,6,4,5,79,9,1620,1012
"167","Modern","Elk","ICHmk4","cool",165,51,0,0,1108,739,810,1012
"168","Modern","Elk","ICHmk4","warm",165,98,0,0,1108,522,810,623
"169","Modern","Elk","IMAun","cool",12,8,2,0,42,42,57,62
"170","Modern","Elk","IMAun","warm",12,1,2,0,42,3,57,NA
"171","Modern","Elk","MSdk","cool",74,53,0,0,1110,1034,810,810
"172","Modern","Elk","MSdk","warm",74,7,0,0,1110,76,810,736
"173","Modern","Elk","MSdw","cool",92,71,0,0,1644,1496,810,810
"174","Modern","Elk","MSdw","warm",92,11,0,0,1644,142,810,1012
"175","Modern","Elk","IDFdm2","cool",NA,NA,NA,NA,NA,NA,NA,NA
"176","Modern","Elk","IDFdm2","warm",NA,NA,NA,NA,NA,NA,NA,NA
"177","Modern","Kootenay North","ESSFdk1","cool",168,14,7,0,612,152,312,368
"178","Modern","Kootenay North","ESSFdk1","warm",168,134,7,5,612,446,312,300
"179","Modern","Kootenay North","ESSFdk2","cool",429,93,0,0,11078,3403,193,208
"180","Modern","Kootenay North","ESSFdk2","warm",429,287,0,0,11078,5906,193,188
"181","Modern","Kootenay North","ESSFdkp","cool",38,36,0,0,315,279,289,289
"182","Modern","Kootenay North","ESSFdkp","warm",38,2,0,0,315,11,289,202
"183","Modern","Kootenay North","ESSFdkw","cool",147,109,0,0,1706,1477,261,261
"184","Modern","Kootenay North","ESSFdkw","warm",147,14,0,0,1706,139,261,279
"185","Modern","Kootenay North","ESSFwm1","cool",118,51,28,0,205,185,123,123
"186","Modern","Kootenay North","ESSFwm1","warm",118,16,28,11,205,28,123,123
"187","Modern","Kootenay North","ESSFwmp","cool",19,18,0,0,60,60,300,279
"188","Modern","Kootenay North","ESSFwmp","warm",19,0,0,0,60,0,300,8100
"189","Modern","Kootenay North","ESSFwmw","cool",70,28,3,0,168,89,135,129
