"","Scenario","Region","BEC","AREA","MIN","MAX","MEAN","MEDIAN"
"103","RCP4.5","Kootenay South","ESSFwmw",4e+08,0.005,0.005,0.005,0.005
"104","RCP4.5","Kootenay South","ESSFwm4",1e+09,0.01,0.01,0.01,0.01
"105","RCP4.5","Kootenay South","ESSFwmp",1e+08,0.004,0.004,0.004,0.004
"106","RCP4.5","Kootenay South","ESSFdkp",5e+07,0.005,0.005,0.005,0.005
"107","RCP4.5","Kootenay South","ESSFdkw",3e+08,0.006,0.009,0.006,0.006
"108","RCP4.5","Kootenay South","IMAun",3e+06,0.003,0.003,0.003,0.003
"109","RCP4.5","Kootenay South","MSdk",1e+07,0.02,0.02,0.02,0.02
"110","RCP4.5","Kootenay South","ICHmk4",5e+07,0.009,0.009,0.009,0.009
"111","RCP4.5","Kootenay South","ESSFdk1",1e+09,0.008,0.009,0.009,0.009
"112","RCP4.5","Kootenay South","ESSFwm1",1e+08,0.007,0.007,0.007,0.007
"113","RCP4.5","Kootenay South","ESSFdk2",7e+07,0.008,0.008,0.008,0.008
"114","RCP4.5","Kootenay South","ICHmw2",1e+07,0.004,0.004,0.004,0.004
"115","RCP4.5","Kootenay South","ESSFwh2",1e+08,0.004,0.004,0.004,0.004
"116","RCP4.5","Kootenay South","ESSFwm2",2e+08,0.003,0.003,0.003,0.003
"117","RCP4.5","Kootenay South","MSdw",1e+09,0.02,0.02,0.02,0.02
"118","RCP4.5","Kootenay South","IDFdm2",2e+09,0.05,0.05,0.05,0.05
"119","RCP4.5","Kootenay South","IDFxx2",8e+08,0.06,0.06,0.06,0.06
"120","RCP4.5","Kootenay South","ICHxw",1e+07,0.01,0.01,0.01,0.01
"121","RCP4.5","Kootenay South","ICHdw1",2e+08,0.01,0.01,0.01,0.01
"122","RCP4.5","Kootenay South","IDFxk",2e+05,0.05,0.05,0.05,0.05
"123","RCP4.5","Kootenay North","ESSFdkp",9e+07,0.005,0.005,0.005,0.005
"124","RCP4.5","Kootenay North","ESSFdkw",4e+08,0.006,0.006,0.006,0.006
"125","RCP4.5","Kootenay North","IMAun",1e+07,0.003,0.003,0.003,0.003
"126","RCP4.5","Kootenay North","ESSFwm1",1e+07,0.007,0.007,0.007,0.007
