"","Zone","Region_Name","Aspect","mean_fs_BEC.H","mean_fs_BEC.M","mean_fs_BEC.aspect.H","mean_fs_BEC.aspect.M","min_fs_BEC.H","min_fs_BEC.M","min_fs_BEC.aspect.H","min_fs_BEC.aspect.M","max_fs_BEC.H","max_fs_BEC.M","max_fs_BEC.aspect.H","max_fs_BEC.aspect.M","FRI.H","FRI.M","FRI.aspect.H","FRI.aspect.M"
"81","Kootenay South","ESSFwmp","warm",100,25,50,2,10,0,1,0,2000,211,200,15,400,1620,200,1350
"82","Kootenay South","ESSFwmp","cool",100,25,30,20,10,0,0,0,2000,211,75,210,400,1620,400,1620
"83","Kootenay South","ICHdm","warm",10,113,10,5,10,0,5,0,5000,1643,300,83,150,405,50,352
"84","Kootenay South","ICHdm","cool",10,113,5,103,10,0,1,0,5000,1643,150,1587,150,405,70,405
"85","Kootenay South","ICHdw1","warm",10,103,10,4,10,0,5,0,5000,703,300,12,150,1157,50,2700
"86","Kootenay South","ICHdw2","cool",10,NA,5,NA,10,NA,1,NA,5000,NA,150,NA,150,NA,70,NA
"87","Kootenay South","ICHmk4","warm",10,162,10,81,10,1,5,0,5000,480,300,233,150,324,50,279
"88","Kootenay South","ICHmk5","cool",10,NA,5,NA,10,NA,1,NA,5000,NA,150,NA,150,NA,70,NA
"89","Kootenay South","IDFdm2","warm",10,55,50,27,2,0,3,0,100,1189,500,1061,50,2025,10,1157
"90","Kootenay South","IDFdm3","cool",10,NA,50,NA,2,NA,3,NA,100,NA,500,NA,50,NA,10,NA
"91","Kootenay South","IDFxx2","warm",10,31,50,7,2,0,3,0,100,455,500,69,25,900,7,736
"92","Kootenay South","IDFxx3","cool",10,NA,50,NA,2,NA,3,NA,100,NA,500,NA,25,NA,7,NA
"93","Kootenay South","IMAun","warm",50,NA,0,NA,10,NA,0,NA,5000,NA,0,NA,350,NA,0,NA
"94","Kootenay South","IMAun","cool",50,NA,0,NA,10,NA,0,NA,5000,NA,0,NA,350,NA,0,NA
"95","Kootenay South","MSdw","warm",20,165,30,21,2,0,2,0,1000,5446,400,290,120,405,30,476
"96","Kootenay South","MSdw","cool",20,165,30,123,2,0,1,0,1000,5446,250,5216,120,405,30,405
"97","Elk","ESSFdk1","warm",100,209,70,14,10,0,5,0,2000,10508,2000,487,150,476,120,405
"98","Elk","ESSFdk2","cool",100,186,50,86,10,0,1,0,2000,3951,500,2097,150,450,250,476
"99","Elk","ESSFdk2","warm",100,186,70,46,10,0,5,0,2000,3951,2000,557,150,450,150,300
"100","Elk","ESSFdk3","cool",100,NA,50,NA,10,NA,1,NA,2000,NA,500,NA,150,NA,250,NA
"101","Elk","ESSFdkp","warm",100,28,50,0,10,0,1,0,2000,226,1000,2,400,386,200,736
"102","Elk","ESSFdkp","cool",100,28,30,27,10,0,0,0,2000,226,300,223,400,386,400,386
"103","Elk","ESSFdkw","warm",100,62,50,24,10,0,1,0,2000,1162,1000,627,400,579,200,579
"104","Elk","ESSFdkw","cool",100,62,30,30,10,0,0,0,2000,1162,300,544,400,579,400,579
"105","Elk","ESSFwm1","warm",100,213,50,44,10,0,1,0,2000,1440,200,337,400,368,200,338
"106","Elk","ESSFwm2","cool",100,NA,30,NA,10,NA,0,NA,2000,NA,75,NA,400,NA,400,NA
"107","Elk","ESSFwmp","warm",100,22,50,2,10,2,1,0,2000,65,1000,5,400,219,200,540
"108","Elk","ESSFwmp","cool",100,22,30,21,10,2,0,0,2000,65,300,64,400,219,400,198
"109","Elk","ESSFwmw","warm",100,89,50,28,10,0,1,0,2000,1133,1000,311,400,312,200,386
"110","Elk","ESSFwmw","cool",100,89,30,43,10,0,0,0,2000,1133,300,792,400,312,400,279
"111","Elk","ICHdm","warm",10,41,70,6,10,4,5,5,5000,79,5000,9,150,1620,50,1012
"112","Elk","ICHdm","cool",10,41,50,29,10,4,1,0,5000,79,1000,70,150,1620,70,2025
"113","Elk","ICHmk4","warm",10,165,70,98,10,0,5,0,5000,1108,5000,522,150,810,50,623
"114","Elk","ICHmk5","cool",10,NA,50,NA,10,NA,1,NA,5000,NA,1000,NA,150,NA,70,NA
"115","Elk","IMAun","warm",50,12,0,1,10,2,0,0,5000,42,0,3,350,57,0,NA
"116","Elk","IMAun","cool",50,12,0,8,10,2,0,0,5000,42,0,42,350,57,0,62
"117","Elk","MSdk","warm",20,74,50,7,2,0,2,0,1000,1110,5000,76,120,810,50,736
"118","Elk","MSdk","cool",20,74,30,53,2,0,1,0,1000,1110,1000,1034,120,810,70,810
"119","Elk","MSdw","warm",20,92,50,11,2,0,2,0,1000,1644,5000,142,120,810,50,1012
"120","Elk","MSdw","cool",20,92,30,71,2,0,1,0,1000,1644,1000,1496,120,810,70,810
