OID_,FID_BEC_ROI,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,FID_Historical_Fire_Perimeters_ROI,FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE_1,OBJECTID_1,AREA_SQM_1,FEAT_LEN_1,Shape_Length,Shape_Area,Calculate_Size_Ha
21,16,435.000000000000000,MS,dk, , ,NDT3,MSdk,MS  dk,Montane Spruce,Dry Cool, , ,Ecosystems with frequent stand-initiating events,4733066.050499999895692,22259.373800000001211,4733066.000000000000000,22259.000000000000000,5125148.000000000000000,1145,N10748,0.000000000000000,2003,Lightning,2003-N10748,1178.599999999999909,LANDSAT5, ,20070517150824,20030820,digitized,JA70003000,0.000000000000000,1773459.000000000000000,11786780.354499999433756,24036.084699999999430,10041.895519047926427,1353997.401367860613391,135.399740136786079
22,21,435.000000000000000,ESSF,dk,1, ,NDT3,ESSFdk1,ESSFdk 1,Engelmann Spruce -- Subalpine Fir,Dry Cool,Elk, ,Ecosystems with frequent stand-initiating events,5577644.564000000245869,23810.017700000000332,5577645.000000000000000,23810.000000000000000,5117338.000000000000000,532,378,0.000000000000000,1936,Lightning,1936-378,5849.300000000000182,linens, ,20070517130602,19360803,digitised,JA70003000,0.000000000000000,1763054.000000000000000,58493121.573399998247623,47777.914900000003399,14360.453512584770579,2277734.514476930722594,227.773451447693077
23,25,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,585004.425000000046566,6599.823199999999815,585004.000000000000000,6600.000000000000000,5120892.000000000000000,26,51,0.000000000000000,1919,Person,1919-51,16893.500000000000000,linens, ,20070517130622,19190715,digitised,JA70003000,0.000000000000000,1756204.000000000000000,168935187.156100004911423,83728.526700000002165,6415.878605069633522,571041.902519853902049,57.104190251985393
24,26,435.000000000000000,ESSF,dk,1, ,NDT3,ESSFdk1,ESSFdk 1,Engelmann Spruce -- Subalpine Fir,Dry Cool,Elk, ,Ecosystems with frequent stand-initiating events,6927837.433699999935925,29355.386299999998300,6927837.000000000000000,29355.000000000000000,5117339.000000000000000,532,378,0.000000000000000,1936,Lightning,1936-378,5849.300000000000182,linens, ,20070517130602,19360803,digitised,JA70003000,0.000000000000000,1763054.000000000000000,58493121.573399998247623,47777.914900000003399,29885.105444956061547,6622627.436080962419510,662.262743608096230
25,27,435.000000000000000,ESSF,dk,1, ,NDT3,ESSFdk1,ESSFdk 1,Engelmann Spruce -- Subalpine Fir,Dry Cool,Elk, ,Ecosystems with frequent stand-initiating events,15479126.860700000077486,53148.293700000001991,15479127.000000000000000,53148.000000000000000,5117337.000000000000000,26,51,0.000000000000000,1919,Person,1919-51,16893.500000000000000,linens, ,20070517130622,19190715,digitised,JA70003000,0.000000000000000,1756204.000000000000000,168935187.156100004911423,83728.526700000002165,25084.788916231420444,4685140.276361955329776,468.514027636195578
26,27,435.000000000000000,ESSF,dk,1, ,NDT3,ESSFdk1,ESSFdk 1,Engelmann Spruce -- Subalpine Fir,Dry Cool,Elk, ,Ecosystems with frequent stand-initiating events,15479126.860700000077486,53148.293700000001991,15479127.000000000000000,53148.000000000000000,5117337.000000000000000,532,378,0.000000000000000,1936,Lightning,1936-378,5849.300000000000182,linens, ,20070517130602,19360803,digitised,JA70003000,0.000000000000000,1763054.000000000000000,58493121.573399998247623,47777.914900000003399,26840.847059756702947,6825848.753585587255657,682.584875358558747
27,28,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,6185000.000000000000000,34600.000000000000000,6185000.000000000000000,34600.000000000000000,5117726.000000000000000,532,378,0.000000000000000,1936,Lightning,1936-378,5849.300000000000182,linens, ,20070517130602,19360803,digitised,JA70003000,0.000000000000000,1763054.000000000000000,58493121.573399998247623,47777.914900000003399,33603.014194564100762,5712583.068298938684165,571.258306829893854
28,29,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,457500.000000000000000,4900.000000000000000,457500.000000000000000,4900.000000000000000,5117477.000000000000000,532,378,0.000000000000000,1936,Lightning,1936-378,5849.300000000000182,linens, ,20070517130602,19360803,digitised,JA70003000,0.000000000000000,1763054.000000000000000,58493121.573399998247623,47777.914900000003399,4643.888993995281453,385712.338590865780134,38.571233859086583
29,30,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,435000.000000000000000,5000.000000000000000,435000.000000000000000,5000.000000000000000,5117468.000000000000000,532,378,0.000000000000000,1936,Lightning,1936-378,5849.300000000000182,linens, ,20070517130602,19360803,digitised,JA70003000,0.000000000000000,1763054.000000000000000,58493121.573399998247623,47777.914900000003399,4999.431958432062856,434884.815088085830212,43.488481508808583
30,31,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,962996.789499999955297,5943.943400000000111,962997.000000000000000,5944.000000000000000,5117722.000000000000000,532,378,0.000000000000000,1936,Lightning,1936-378,5849.300000000000182,linens, ,20070517130602,19360803,digitised,JA70003000,0.000000000000000,1763054.000000000000000,58493121.573399998247623,47777.914900000003399,5943.342210051378970,962738.596693622181192,96.273859669362224
