OID_,FID_BEC_PEM_Elk,FID_BEC_ROI,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,FID_PEM_fire_group,fire_group,BEC_PEM,FID_HFP_Elk,FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE_1,OBJECTID_12,AREA_SQM_1,FEAT_LEN_1,Shape_Length,Shape_Area,Calculate_Size_Ha
21,12,10,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,635219.487199999974109,7790.015999999999622,635219.000000000000000,7790.000000000000000,5117457.000000000000000,6,warm,ESSFdkpwarm,114,323,0.000000000000000,1934,Lightning,1934-323,12167.399999999999636,linens, ,20070517130602,19340730,digitised,JA70003000,0.000000000000000,1762337.000000000000000,121674484.455599993467331,83246.637199999997392,243.255501571337504,724.279363966036385,0.072427936396604
22,13,11,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,919780.512800000025891,8446.469999999999345,919781.000000000000000,8446.000000000000000,5120897.000000000000000,2,cool,ESSFwmpcool,114,323,0.000000000000000,1934,Lightning,1934-323,12167.399999999999636,linens, ,20070517130602,19340730,digitised,JA70003000,0.000000000000000,1762337.000000000000000,121674484.455599993467331,83246.637199999997392,3208.023415315001785,126847.391573782137129,12.684739157378214
23,14,12,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,7661874.047799999825656,56807.710299999998824,7661874.000000000000000,56808.000000000000000,5121032.000000000000000,2,cool,ESSFwmwcool,114,323,0.000000000000000,1934,Lightning,1934-323,12167.399999999999636,linens, ,20070517130602,19340730,digitised,JA70003000,0.000000000000000,1762337.000000000000000,121674484.455599993467331,83246.637199999997392,6096.181720711927483,541708.546656404971145,54.170854665640498
24,14,12,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,7661874.047799999825656,56807.710299999998824,7661874.000000000000000,56808.000000000000000,5121032.000000000000000,2,cool,ESSFwmwcool,173,N20609,0.000000000000000,1970,Person,1970-N20609,1357.099999999999909,mylars, ,20070517130630,19700823,digitised,JA70003000,0.000000000000000,1769570.000000000000000,13571891.510399999096990,18659.428100000000995,10283.926238079049654,955815.697857653605752,95.581569785765367
25,15,12,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,7661874.047799999825656,56807.710299999998824,7661874.000000000000000,56808.000000000000000,5121032.000000000000000,5,cool,ESSFwmwcool,173,N20609,0.000000000000000,1970,Person,1970-N20609,1357.099999999999909,mylars, ,20070517130630,19700823,digitised,JA70003000,0.000000000000000,1769570.000000000000000,13571891.510399999096990,18659.428100000000995,855.714577360517751,18481.587960910201218,1.848158796091020
26,16,12,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,7661874.047799999825656,56807.710299999998824,7661874.000000000000000,56808.000000000000000,5121032.000000000000000,6,warm,ESSFwmwwarm,114,323,0.000000000000000,1934,Lightning,1934-323,12167.399999999999636,linens, ,20070517130602,19340730,digitised,JA70003000,0.000000000000000,1762337.000000000000000,121674484.455599993467331,83246.637199999997392,2643.395075840465779,28865.908474768501037,2.886590847476850
27,16,12,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,7661874.047799999825656,56807.710299999998824,7661874.000000000000000,56808.000000000000000,5121032.000000000000000,6,warm,ESSFwmwwarm,173,N20609,0.000000000000000,1970,Person,1970-N20609,1357.099999999999909,mylars, ,20070517130630,19700823,digitised,JA70003000,0.000000000000000,1769570.000000000000000,13571891.510399999096990,18659.428100000000995,2992.032582620032372,68703.663427591047366,6.870366342759105
28,17,13,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,292241.732299999974202,4377.379700000000412,292242.000000000000000,4377.000000000000000,5117451.000000000000000,2,cool,ESSFdkpcool,114,323,0.000000000000000,1934,Lightning,1934-323,12167.399999999999636,linens, ,20070517130602,19340730,digitised,JA70003000,0.000000000000000,1762337.000000000000000,121674484.455599993467331,83246.637199999997392,1620.168354755024438,84338.453964917731355,8.433845396491774
29,18,13,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,292241.732299999974202,4377.379700000000412,292242.000000000000000,4377.000000000000000,5117451.000000000000000,6,warm,ESSFdkpwarm,114,323,0.000000000000000,1934,Lightning,1934-323,12167.399999999999636,linens, ,20070517130602,19340730,digitised,JA70003000,0.000000000000000,1762337.000000000000000,121674484.455599993467331,83246.637199999997392,93.240383715560554,253.299577899005982,0.025329957789901
30,19,14,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,265258.267700000025798,4224.105700000000070,265258.000000000000000,4224.000000000000000,5120894.000000000000000,2,cool,ESSFwmpcool,114,323,0.000000000000000,1934,Lightning,1934-323,12167.399999999999636,linens, ,20070517130602,19340730,digitised,JA70003000,0.000000000000000,1762337.000000000000000,121674484.455599993467331,83246.637199999997392,1055.364565828675950,33770.202653058804572,3.377020265305881
