OID_,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,Shape_Length,Shape_Area,Calculate_Area_Ha
29,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,40969166.368699997663498,163799.470800000010058,40969166.000000000000000,163799.000000000000000,5117731.000000000000000,230634.438002436858369,31243435.729720007628202,3124.343572972000857
30,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,7372500.000000000000000,33700.000000000000000,7372500.000000000000000,33700.000000000000000,5117467.000000000000000,33519.542973621661076,1820434.327333081280813,182.043432733308123
31,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,27346096.255699999630451,154395.814799999992829,27346096.000000000000000,154396.000000000000000,5117493.000000000000000,104451.510779603937408,5889271.974986231885850,588.927197498623173
32,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,6213698.607099999673665,47178.698299999996379,6213699.000000000000000,47179.000000000000000,5122062.000000000000000,1320.946144699375736,46023.193230128526920,4.602319323012853
33,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,4461373.321399999782443,30905.647400000001653,4461373.000000000000000,30906.000000000000000,5117719.000000000000000,32738.273558108070574,3155753.901211170013994,315.575390121117039
34,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,1186243.371700000017881,7866.280499999999847,1186243.000000000000000,7866.000000000000000,5117449.000000000000000,7857.416442547396400,736455.108442385331728,73.645510844238544
35,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,927704.917099999962375,9487.320599999999104,927705.000000000000000,9487.000000000000000,5122008.000000000000000,63.516928268551915,195.016583945418688,0.019501658394542
36,435.000000000000000,ESSF,wm,1, ,NDT2,ESSFwm1,ESSFwm 1,Engelmann Spruce -- Subalpine Fir,Wet Mild,Fernie, ,Ecosystems with infrequent stand-initiating events,67039414.086099997162819,158824.372000000003027,67039414.000000000000000,158824.000000000000000,5120743.000000000000000,181820.902945234527579,59747865.272672154009342,5974.786527267216115
37,435.000000000000000,MS,dk, , ,NDT3,MSdk,MS  dk,Montane Spruce,Dry Cool, , ,Ecosystems with frequent stand-initiating events,51500379.693300001323223,68157.946100000001024,51500380.000000000000000,68158.000000000000000,5125147.000000000000000,75758.067732094074017,51175946.010216876864433,5117.594601021687595
38,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,3673940.050199999939650,19428.280299999998533,3673940.000000000000000,19428.000000000000000,5117360.000000000000000,24407.689448022330907,3284318.062233101110905,328.431806223310105
39,435.000000000000000,ICH,mk,4, ,NDT3,ICHmk4,ICH mk 4,Interior Cedar -- Hemlock,Moist Cool,Elk, ,Ecosystems with frequent stand-initiating events,3375383.155300000216812,17283.980899999998655,3375383.000000000000000,17284.000000000000000,5121524.000000000000000,17255.515106982391444,3359264.157596187666059,335.926415759618806
40,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,15180137.621500000357628,81070.728099999992992,15180138.000000000000000,81071.000000000000000,5121034.000000000000000,111295.415462814024067,12914154.844319965690374,1291.415484431996674
41,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,13148495.930099999532104,60150.809500000003027,13148496.000000000000000,60151.000000000000000,5117361.000000000000000,66547.405591233182349,12762320.588140545412898,1276.232058814054653
42,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,466643.636200000008103,6775.024400000000242,466644.000000000000000,6775.000000000000000,5120907.000000000000000,7136.014574656884179,276271.134403337724507,27.627113440333773
43,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,5230787.469499999657273,35262.843300000000454,5230787.000000000000000,35263.000000000000000,5117724.000000000000000,37472.351994199525507,4863400.548457238823175,486.340054845723898
44,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,178356.363799999991897,2216.604400000000169,178356.000000000000000,2217.000000000000000,5117463.000000000000000,2287.252722817378526,158648.511362487886799,15.864851136248790
45,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,1846384.440600000089034,11110.058699999999590,1846384.000000000000000,11110.000000000000000,5122086.000000000000000,9565.621523063655331,269592.592308044899255,26.959259230804491
46,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,97287.141399999993155,1881.091400000000021,97287.000000000000000,1881.000000000000000,5117462.000000000000000,2235.165817621140832,51507.453590336204797,5.150745359033620
47,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,35212.858599999999569,1332.465400000000045,35213.000000000000000,1332.000000000000000,5120902.000000000000000,1371.433010330648131,31371.870061527988582,3.137187006152799
48,435.000000000000000,MS,dk, , ,NDT3,MSdk,MS  dk,Montane Spruce,Dry Cool, , ,Ecosystems with frequent stand-initiating events,70526342.391699999570847,157667.147300000011455,70526342.000000000000000,157667.000000000000000,5125150.000000000000000,251193.751382166665280,66572850.958861656486988,6657.285095886166346
49,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,179195.707900000008522,2716.030699999999797,179196.000000000000000,2716.000000000000000,5117458.000000000000000,2715.600647252510498,179123.234968837903580,17.912323496883790
50,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,128304.292100000006030,2701.082699999999932,128304.000000000000000,2701.000000000000000,5120900.000000000000000,2700.693519865247254,128252.525142516504275,12.825252514251652
51,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,105000.000000000000000,1600.000000000000000,105000.000000000000000,1600.000000000000000,5120901.000000000000000,854.467307363913051,14062.139636111547588,1.406213963611155
52,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,268607.221100000024308,3726.224000000000160,268607.000000000000000,3726.000000000000000,5117450.000000000000000,4157.455428822388058,211308.316100937809097,21.130831610093782
53,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,513892.778899999975692,5893.118000000000393,513893.000000000000000,5893.000000000000000,5120893.000000000000000,7138.116847597096239,399697.701901270309463,39.969770190127036
54,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,155000.000000000000000,2500.000000000000000,155000.000000000000000,2500.000000000000000,5120906.000000000000000,3149.738911931477105,98588.716317734768381,9.858871631773477
55,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,645000.000000000000000,5800.000000000000000,645000.000000000000000,5800.000000000000000,5120899.000000000000000,7792.346000795866530,252336.151368383609224,25.233615136838363
56,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,537500.000000000000000,3900.000000000000000,537500.000000000000000,3900.000000000000000,5120895.000000000000000,5883.390009101073701,245111.664941951137735,24.511166494195116
57,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,127500.000000000000000,2200.000000000000000,127500.000000000000000,2200.000000000000000,5120891.000000000000000,2928.889931416221771,80511.925603725831024,8.051192560372584
58,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,82869.526800000006915,1523.908799999999928,82870.000000000000000,1524.000000000000000,5120888.000000000000000,730.710346123108934,5571.732213403504829,0.557173221340351
59,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,27694603.378100000321865,193810.333400000003166,27694603.000000000000000,193810.000000000000000,5121033.000000000000000,64391.759978910537029,5740768.652573479339480,574.076865257348004
