OID_,FID_BEC_ROI,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,FID_PEM_fire_group,fire_group,BEC_PEM,Shape_Length,Shape_Area,Calculate_Area_Ha
52,115,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,4006626.142700000200421,30912.729999999999563,4006626.000000000000000,30913.000000000000000,5120905.000000000000000,6,warm,ESSFwmpwarm,1842.373844437467596,18628.263285477809404,1.862826328547781
53,117,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,32165277.667199999094009,279054.169200000003912,32165278.000000000000000,279054.000000000000000,5117497.000000000000000,2,cool,ESSFdkpcool,215992.906784032558789,12334834.404263336211443,1233.483440426333573
54,117,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,32165277.667199999094009,279054.169200000003912,32165278.000000000000000,279054.000000000000000,5117497.000000000000000,6,warm,ESSFdkpwarm,3760.173159652863887,10663.576547002152438,1.066357654700215
55,118,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,14178372.217399999499321,92750.120999999999185,14178372.000000000000000,92750.000000000000000,5122053.000000000000000,2,cool,IMAuncool,38931.668779777093732,813859.423533997847699,81.385942353399784
56,119,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,43692.583400000003166,1213.513200000000097,43693.000000000000000,1214.000000000000000,5117459.000000000000000,2,cool,ESSFdkpcool,1371.981839043549599,43211.056446585957019,4.321105644658596
57,120,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,315000.000000000000000,3000.000000000000000,315000.000000000000000,3000.000000000000000,5122023.000000000000000,2,cool,IMAuncool,894.310097690663156,14434.828644968381923,1.443482864496838
58,121,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,607500.000000000000000,5300.000000000000000,607500.000000000000000,5300.000000000000000,5117470.000000000000000,2,cool,ESSFdkpcool,6226.732168950047708,529712.439830025425181,52.971243983002545
59,122,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,17037169.232900001108646,45709.158199999998033,17037169.000000000000000,45709.000000000000000,5117362.000000000000000,2,cool,ESSFdk2cool,127277.729397857605363,4413617.756864252500236,441.361775686425290
60,122,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,17037169.232900001108646,45709.158199999998033,17037169.000000000000000,45709.000000000000000,5117362.000000000000000,5,cool,ESSFdk2cool,8880.680757511931006,73803.070074684423162,7.380307007468443
61,122,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,17037169.232900001108646,45709.158199999998033,17037169.000000000000000,45709.000000000000000,5117362.000000000000000,6,warm,ESSFdk2warm,147294.527453625603812,8296432.276708572171628,829.643227670857300
62,123,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,250000.000000000000000,3800.000000000000000,250000.000000000000000,3800.000000000000000,5117485.000000000000000,2,cool,ESSFdkpcool,4288.388230155537713,234017.359784949541790,23.401735978494955
63,124,435.000000000000000,MS,dk, , ,NDT3,MSdk,MS  dk,Montane Spruce,Dry Cool, , ,Ecosystems with frequent stand-initiating events,1778805.549300000071526,10112.708199999999124,1778806.000000000000000,10113.000000000000000,5125149.000000000000000,2,cool,MSdkcool,17833.422265215263906,1387424.186386324465275,138.742418638632444
64,124,435.000000000000000,MS,dk, , ,NDT3,MSdk,MS  dk,Montane Spruce,Dry Cool, , ,Ecosystems with frequent stand-initiating events,1778805.549300000071526,10112.708199999999124,1778806.000000000000000,10113.000000000000000,5125149.000000000000000,6,warm,MSdkwarm,4005.487486104225354,10910.278226011558218,1.091027822601156
