OID_,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,Shape_Length,Shape_Area,Calculate_Area_Ha
29,435.000000000000000,ESSF,dk,1, ,NDT3,ESSFdk1,ESSFdk 1,Engelmann Spruce -- Subalpine Fir,Dry Cool,Elk, ,Ecosystems with frequent stand-initiating events,31129405.361299999058247,54223.320699999996577,31129405.000000000000000,54223.000000000000000,5117357.000000000000000,71833.489047976501752,30177798.110518932342529,3017.779811051893375
30,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,3767500.000000000000000,20200.000000000000000,3767500.000000000000000,20200.000000000000000,5117747.000000000000000,20489.480016024117504,3733775.519064091145992,373.377551906409110
31,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,60702490.125000000000000,389099.529399999999441,60702490.000000000000000,389100.000000000000000,5121017.000000000000000,4056.242399207969811,556645.515741011127830,55.664551574101118
32,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,330000.000000000000000,3100.000000000000000,330000.000000000000000,3100.000000000000000,5121977.000000000000000,3647.657117686642323,275365.499599905568175,27.536549959990559
33,435.000000000000000,ESSF,wh,2, ,NDT2,ESSFwh2,ESSFwh 2,Engelmann Spruce -- Subalpine Fir,Wet Hot,St Mary, ,Ecosystems with infrequent stand-initiating events,188968948.620099991559982,1059256.543000000063330,188968949.000000000000000,1059257.000000000000000,5120588.000000000000000,436603.067545456113294,83350263.548162490129471,8335.026354816249295
34,435.000000000000000,ICH,dm, , ,NDT3,ICHdm,ICH dm,Interior Cedar -- Hemlock,Dry Mild, , ,Ecosystems with frequent stand-initiating events,322437034.435299992561340,512494.402300000016112,322437034.000000000000000,512494.000000000000000,5121447.000000000000000,146175.005036402435508,62038751.882250100374222,6203.875188225010788
35,435.000000000000000,IDF,dm,2, ,NDT4,IDFdm2,IDF dm 2,Interior Douglas-fir,Dry Mild,Kootenay, ,Ecosystems with frequent stand-maintaining fires,2154694911.042200088500977,1438185.760100000072271,2154694910.000000000000000,1438186.000000000000000,5121855.000000000000000,181610.030460996786132,80182111.242782637476921,8018.211124278263924
36,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,367500.000000000000000,3600.000000000000000,367500.000000000000000,3600.000000000000000,5122561.000000000000000,3334.633556191408388,150659.376457767328247,15.065937645776733
37,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,390000.000000000000000,4800.000000000000000,390000.000000000000000,4800.000000000000000,5122565.000000000000000,4843.491736167247836,374039.889775727875531,37.403988977572787
38,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,186329.794400000013411,2639.186999999999898,186330.000000000000000,2639.000000000000000,5122573.000000000000000,232.505945543104758,3123.104999853969275,0.312310499985397
39,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,7087500.000000000000000,53800.000000000000000,7087500.000000000000000,53800.000000000000000,5122600.000000000000000,12454.262034135557769,388317.419050367025193,38.831741905036708
