OID_,FID_BEC_ROI,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,FID_PEM_fire_group,fire_group,BEC_PEM,Shape_Length,Shape_Area
11,142,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,1735000.000000000000000,10800.000000000000000,1735000.000000000000000,10800.000000000000000,5120879.000000000000000,1,cool,ESSFwmpcool,10878.693770542851780,1729298.105344216106459
12,142,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,1735000.000000000000000,10800.000000000000000,1735000.000000000000000,10800.000000000000000,5120879.000000000000000,6,warm,ESSFwmpwarm,1266.679878513255744,4368.587979865395937
13,143,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,9782735.965800000354648,77545.854800000000978,9782736.000000000000000,77546.000000000000000,5117464.000000000000000,1,cool,ESSFdkpcool,8318.615228992073753,536290.725752164260484
14,147,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,345000.000000000000000,3600.000000000000000,345000.000000000000000,3600.000000000000000,5121976.000000000000000,1,cool,IMAuncool,3598.565481907660342,344743.368567779893056
15,148,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,312500.000000000000000,3400.000000000000000,312500.000000000000000,3400.000000000000000,5120880.000000000000000,1,cool,ESSFwmpcool,3430.444087777145796,308591.939636172610335
16,148,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,312500.000000000000000,3400.000000000000000,312500.000000000000000,3400.000000000000000,5120880.000000000000000,6,warm,ESSFwmpwarm,1022.580124224765768,3667.969114753976555
17,151,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,1130000.000000000000000,7300.000000000000000,1130000.000000000000000,7300.000000000000000,5121987.000000000000000,1,cool,IMAuncool,7297.368721642214950,1129153.232785651693121
18,156,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,7000705.362399999983609,43717.284200000001874,7000705.000000000000000,43717.000000000000000,5117469.000000000000000,1,cool,ESSFdkpcool,52775.498677842428151,6770772.936326593160629
19,156,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,7000705.362399999983609,43717.284200000001874,7000705.000000000000000,43717.000000000000000,5117469.000000000000000,5,cool,ESSFdkpcool,390.241654869957472,1580.298421525313870
20,156,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,7000705.362399999983609,43717.284200000001874,7000705.000000000000000,43717.000000000000000,5117469.000000000000000,6,warm,ESSFdkpwarm,12171.227873494110099,213300.074222896771971
21,157,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,4147500.000000000000000,28100.000000000000000,4147500.000000000000000,28100.000000000000000,5122013.000000000000000,1,cool,IMAuncool,28088.934990464480506,4144372.907449926249683
22,159,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,93461.560400000002119,1991.440800000000081,93462.000000000000000,1991.000000000000000,5122004.000000000000000,1,cool,IMAuncool,2049.051348605337353,92795.133017687228858
23,162,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,257858.975799999985611,3674.259399999999914,257859.000000000000000,3674.000000000000000,5122016.000000000000000,1,cool,IMAuncool,4930.902698849036824,179171.630976981163258
24,162,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,257858.975799999985611,3674.259399999999914,257859.000000000000000,3674.000000000000000,5122016.000000000000000,5,cool,IMAuncool,86.219754143968174,450.032400508801004
25,162,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,257858.975799999985611,3674.259399999999914,257859.000000000000000,3674.000000000000000,5122016.000000000000000,6,warm,IMAunwarm,2509.715535612649546,76518.455773942027008
26,163,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,1055012.411499999929219,10107.642299999999523,1055012.000000000000000,10108.000000000000000,5122026.000000000000000,1,cool,IMAuncool,19061.907370325308875,863980.276705517666414
27,163,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,1055012.411499999929219,10107.642299999999523,1055012.000000000000000,10108.000000000000000,5122026.000000000000000,5,cool,IMAuncool,40.900109763548620,25.744587136653355
28,163,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,1055012.411499999929219,10107.642299999999523,1055012.000000000000000,10108.000000000000000,5122026.000000000000000,6,warm,IMAunwarm,9642.519808337721770,176656.635846337972907
29,226,435.000000000000000,ESSF,wh,2, ,NDT2,ESSFwh2,ESSFwh 2,Engelmann Spruce -- Subalpine Fir,Wet Hot,St Mary, ,Ecosystems with infrequent stand-initiating events,265161213.641499996185303,1778273.387199999997392,265161214.000000000000000,1778273.000000000000000,5120593.000000000000000,1,cool,ESSFwh2cool,977.314101928613354,21567.182507375448040
30,226,435.000000000000000,ESSF,wh,2, ,NDT2,ESSFwh2,ESSFwh 2,Engelmann Spruce -- Subalpine Fir,Wet Hot,St Mary, ,Ecosystems with infrequent stand-initiating events,265161213.641499996185303,1778273.387199999997392,265161214.000000000000000,1778273.000000000000000,5120593.000000000000000,6,warm,ESSFwh2warm,184.740331278005129,2116.489935864953623
31,227,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,1,cool,ESSFwm2cool,1483586.908531773369759,137751389.458070248365402
32,227,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,5,cool,ESSFwm2cool,93669.749837509138160,1389816.719945672666654
