OID_,FID_BEC_PEM_Columbia,FID_BEC_ROI,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,FID_PEM_fire_group,fire_group,BEC_PEM,FID_HFP_Columbia,FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE_1,OBJECTID_12,AREA_SQM_1,FEAT_LEN_1,Shape_Length,Shape_Area,Calculate_Size_Ha
21,5,418,435.000000000000000,MS,dw, , ,NDT3,MSdw,MS  dw,Montane Spruce,Dry Warm, , ,Ecosystems with frequent stand-initiating events,110344810.161200001835823,385464.121800000022631,110344810.000000000000000,385464.000000000000000,5125219.000000000000000,3,cool,MSdwcool,113,N20200,2014081301.000000000000000,2014,Lightning,2014-N20200,1966.900000000000091,OZIX,20140813,20140815110229,20140727,GPS-TRACK,JA70003000,0.000000000000000,1776525.000000000000000,19669547.518800001591444,27381.824199999999109,21824.037434590663906,5487884.961369977332652,548.788496136997765
22,7,418,435.000000000000000,MS,dw, , ,NDT3,MSdw,MS  dw,Montane Spruce,Dry Warm, , ,Ecosystems with frequent stand-initiating events,110344810.161200001835823,385464.121800000022631,110344810.000000000000000,385464.000000000000000,5125219.000000000000000,6,warm,MSdwwarm,113,N20200,2014081301.000000000000000,2014,Lightning,2014-N20200,1966.900000000000091,OZIX,20140813,20140815110229,20140727,GPS-TRACK,JA70003000,0.000000000000000,1776525.000000000000000,19669547.518800001591444,27381.824199999999109,14779.990082535150577,171183.981163552700309,17.118398116355269
23,8,492,435.000000000000000,ICH,mk,5, ,NDT3,ICHmk5,ICH mk 5,Interior Cedar -- Hemlock,Moist Cool,Kootenay, ,Ecosystems with frequent stand-initiating events,173237045.635500013828278,135143.598399999988033,173237046.000000000000000,135144.000000000000000,5121538.000000000000000,3,cool,ICHmk5cool,76,N30001,0.000000000000000,1984,Person,1984-N30001,28.699999999999999,mylars, ,20070517130626,19840415,digitised,JA70003000,0.000000000000000,1771500.000000000000000,287922.558000000019092,2741.729800000000068,1392.341578867572935,63017.216077553253854,6.301721607755326
24,11,493,435.000000000000000,ESSF,mmw, , ,NDT2,ESSFmmw,ESSFmmw,Engelmann Spruce -- Subalpine Fir,Moist Mild Woodland, , ,Ecosystems with infrequent stand-initiating events,35723577.754000000655651,255337.839999999996508,35723578.000000000000000,255338.000000000000000,5118265.000000000000000,3,cool,ESSFmmwcool,50,576,0.000000000000000,1940,Lightning,1940-576,4117.000000000000000,linens, ,20070517130608,19400720,digitised,JA70003000,0.000000000000000,1764636.000000000000000,41170030.905900001525879,61696.015200000001641,79.488206142589405,0.751414967364728,0.000075141496736
25,12,493,435.000000000000000,ESSF,mmw, , ,NDT2,ESSFmmw,ESSFmmw,Engelmann Spruce -- Subalpine Fir,Moist Mild Woodland, , ,Ecosystems with infrequent stand-initiating events,35723577.754000000655651,255337.839999999996508,35723578.000000000000000,255338.000000000000000,5118265.000000000000000,5,cool,ESSFmmwcool,50,576,0.000000000000000,1940,Lightning,1940-576,4117.000000000000000,linens, ,20070517130608,19400720,digitised,JA70003000,0.000000000000000,1764636.000000000000000,41170030.905900001525879,61696.015200000001641,0.904313255510588,0.005297545069016,0.000000529754507
26,13,493,435.000000000000000,ESSF,mmw, , ,NDT2,ESSFmmw,ESSFmmw,Engelmann Spruce -- Subalpine Fir,Moist Mild Woodland, , ,Ecosystems with infrequent stand-initiating events,35723577.754000000655651,255337.839999999996508,35723578.000000000000000,255338.000000000000000,5118265.000000000000000,7,warm,ESSFmmwwarm,50,576,0.000000000000000,1940,Lightning,1940-576,4117.000000000000000,linens, ,20070517130608,19400720,digitised,JA70003000,0.000000000000000,1764636.000000000000000,41170030.905900001525879,61696.015200000001641,63.708993583143560,0.605233746848386,0.000060523374685
27,29,515,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,33671962.945799998939037,260118.921499999996740,33671963.000000000000000,260119.000000000000000,5117610.000000000000000,3,cool,ESSFdkpcool,7,82,0.000000000000000,1920,Lightning,1920-82,385.300000000000011,linens, ,20070517130616,19200729,digitised,JA70003000,0.000000000000000,1756608.000000000000000,3853141.885799999814481,11389.110699999999269,3332.645018118280859,257025.255248472734820,25.702525524847275
28,29,515,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,33671962.945799998939037,260118.921499999996740,33671963.000000000000000,260119.000000000000000,5117610.000000000000000,3,cool,ESSFdkpcool,22,533,0.000000000000000,1926,Lightning,1926-533,7135.500000000000000,linens, ,20070517130616,19260717,digitised,JA70003000,0.000000000000000,1759354.000000000000000,71355365.002800002694130,46739.879000000000815,104.144546187573013,551.401668517022699,0.055140166851702
29,30,515,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,33671962.945799998939037,260118.921499999996740,33671963.000000000000000,260119.000000000000000,5117610.000000000000000,7,warm,ESSFdkpwarm,7,82,0.000000000000000,1920,Lightning,1920-82,385.300000000000011,linens, ,20070517130616,19200729,digitised,JA70003000,0.000000000000000,1756608.000000000000000,3853141.885799999814481,11389.110699999999269,566.827663148245051,1351.917984474002424,0.135191798447400
30,33,518,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,1622500.000000000000000,9200.000000000000000,1622500.000000000000000,9200.000000000000000,5117791.000000000000000,3,cool,ESSFdkwcool,36,182,0.000000000000000,1932,Lightning,1932-182,345.100000000000023,linens, ,20070517130559,19320728,digitised,JA70003000,0.000000000000000,1761457.000000000000000,3451809.569199999794364,7450.771999999999935,4474.933194887712489,63331.721565662242938,6.333172156566224
31,34,518,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,1622500.000000000000000,9200.000000000000000,1622500.000000000000000,9200.000000000000000,5117791.000000000000000,5,cool,ESSFdkwcool,36,182,0.000000000000000,1932,Lightning,1932-182,345.100000000000023,linens, ,20070517130559,19320728,digitised,JA70003000,0.000000000000000,1761457.000000000000000,3451809.569199999794364,7450.771999999999935,992.650555624777894,13043.532303616300851,1.304353230361630
32,35,518,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,1622500.000000000000000,9200.000000000000000,1622500.000000000000000,9200.000000000000000,5117791.000000000000000,7,warm,ESSFdkwwarm,36,182,0.000000000000000,1932,Lightning,1932-182,345.100000000000023,linens, ,20070517130559,19320728,digitised,JA70003000,0.000000000000000,1761457.000000000000000,3451809.569199999794364,7450.771999999999935,8104.757541704708274,525339.680691996123642,52.533968069199616
33,40,521,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,1727500.000000000000000,14100.000000000000000,1727500.000000000000000,14100.000000000000000,5117789.000000000000000,7,warm,ESSFdkwwarm,107,N20279,2012081301.000000000000000,2012,Lightning,2012-N20279,1.500000000000000,OZIX,20120828113934,20120828113934,20120806,GPS-TRACK,JA70003000,0.000000000000000,1775883.000000000000000,15202.631199999999808,655.962899999999991,262.277120229812681,2490.805546396025875,0.249080554639603
34,51,528,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,1150000.000000000000000,9800.000000000000000,1150000.000000000000000,9800.000000000000000,5117786.000000000000000,3,cool,ESSFdkwcool,53,285,0.000000000000000,1939,Lightning,1939-285,23.800000000000001,linens, ,20070517130559,19390802,digitised,JA70003000,0.000000000000000,1764217.000000000000000,237998.421899999986636,2102.967000000000098,1182.400922868272573,61035.213720416366414,6.103521372041637
35,53,528,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,1150000.000000000000000,9800.000000000000000,1150000.000000000000000,9800.000000000000000,5117786.000000000000000,7,warm,ESSFdkwwarm,53,285,0.000000000000000,1939,Lightning,1939-285,23.800000000000001,linens, ,20070517130559,19390802,digitised,JA70003000,0.000000000000000,1764217.000000000000000,237998.421899999986636,2102.967000000000098,1439.458388057194043,33216.344770186267851,3.321634477018627
36,57,532,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,310000.000000000000000,4100.000000000000000,310000.000000000000000,4100.000000000000000,5122493.000000000000000,3,cool,IMAuncool,22,533,0.000000000000000,1926,Lightning,1926-533,7135.500000000000000,linens, ,20070517130616,19260717,digitised,JA70003000,0.000000000000000,1759354.000000000000000,71355365.002800002694130,46739.879000000000815,867.420510970435430,30639.393323531076021,3.063939332353108
37,63,537,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,964995.775000000023283,7899.831199999999626,964996.000000000000000,7900.000000000000000,5122457.000000000000000,3,cool,IMAuncool,17,646,0.000000000000000,1925,Lightning,1925-646,3040.000000000000000,linens, ,20070517130616,19250729,digitised,JA70003000,0.000000000000000,1758905.000000000000000,30400097.940900001674891,22019.314999999998690,3468.352642660726360,351630.839336921111681,35.163083933692114
38,64,537,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,964995.775000000023283,7899.831199999999626,964996.000000000000000,7900.000000000000000,5122457.000000000000000,7,warm,IMAunwarm,17,646,0.000000000000000,1925,Lightning,1925-646,3040.000000000000000,linens, ,20070517130616,19250729,digitised,JA70003000,0.000000000000000,1758905.000000000000000,30400097.940900001674891,22019.314999999998690,37.681677460182996,75.169452705964645,0.007516945270596
39,65,538,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,385000.000000000000000,4200.000000000000000,385000.000000000000000,4200.000000000000000,5122450.000000000000000,3,cool,IMAuncool,17,646,0.000000000000000,1925,Lightning,1925-646,3040.000000000000000,linens, ,20070517130616,19250729,digitised,JA70003000,0.000000000000000,1758905.000000000000000,30400097.940900001674891,22019.314999999998690,4204.164969070112420,291798.488966445322149,29.179848896644533
