OID_,FID_BEC_ROI,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,FID_PEM_fire_group,fire_group,BEC_PEM,Shape_Length,Shape_Area
33,21,435.000000000000000,ESSF,dk,1, ,NDT3,ESSFdk1,ESSFdk 1,Engelmann Spruce -- Subalpine Fir,Dry Cool,Elk, ,Ecosystems with frequent stand-initiating events,5577644.564000000245869,23810.017700000000332,5577645.000000000000000,23810.000000000000000,5117338.000000000000000,2,cool,ESSFdk1cool,47830.985270120756468,4911561.972993085160851
34,21,435.000000000000000,ESSF,dk,1, ,NDT3,ESSFdk1,ESSFdk 1,Engelmann Spruce -- Subalpine Fir,Dry Cool,Elk, ,Ecosystems with frequent stand-initiating events,5577644.564000000245869,23810.017700000000332,5577645.000000000000000,23810.000000000000000,5117338.000000000000000,5,cool,ESSFdk1cool,1349.830260898458846,24367.671801717977360
35,21,435.000000000000000,ESSF,dk,1, ,NDT3,ESSFdk1,ESSFdk 1,Engelmann Spruce -- Subalpine Fir,Dry Cool,Elk, ,Ecosystems with frequent stand-initiating events,5577644.564000000245869,23810.017700000000332,5577645.000000000000000,23810.000000000000000,5117338.000000000000000,6,warm,ESSFdk1warm,29263.227234171587043,640083.445390661479905
36,22,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,305000.000000000000000,3700.000000000000000,305000.000000000000000,3700.000000000000000,5122027.000000000000000,2,cool,IMAuncool,3699.239249390621353,304909.040480349853169
37,23,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,645000.000000000000000,5900.000000000000000,645000.000000000000000,5900.000000000000000,5117483.000000000000000,2,cool,ESSFdkpcool,5911.773307708765969,638167.761898145894520
38,23,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,645000.000000000000000,5900.000000000000000,645000.000000000000000,5900.000000000000000,5117483.000000000000000,6,warm,ESSFdkpwarm,2158.330099077033083,6650.126646549829275
39,24,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,1234907.506700000027195,12501.073300000000017,1234908.000000000000000,12501.000000000000000,5117723.000000000000000,2,cool,ESSFdkwcool,17462.984238954071770,990259.824424490216188
40,24,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,1234907.506700000027195,12501.073300000000017,1234908.000000000000000,12501.000000000000000,5117723.000000000000000,5,cool,ESSFdkwcool,602.034760264922511,6505.018460354156559
41,24,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,1234907.506700000027195,12501.073300000000017,1234908.000000000000000,12501.000000000000000,5117723.000000000000000,6,warm,ESSFdkwwarm,9197.525567927290467,237794.331147944641998
42,25,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,585004.425000000046566,6599.823199999999815,585004.000000000000000,6600.000000000000000,5120892.000000000000000,2,cool,ESSFwmpcool,6598.971169326830022,579588.451633042306639
43,25,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,585004.425000000046566,6599.823199999999815,585004.000000000000000,6600.000000000000000,5120892.000000000000000,6,warm,ESSFwmpwarm,1543.416970011299554,5251.817230616987217
44,26,435.000000000000000,ESSF,dk,1, ,NDT3,ESSFdk1,ESSFdk 1,Engelmann Spruce -- Subalpine Fir,Dry Cool,Elk, ,Ecosystems with frequent stand-initiating events,6927837.433699999935925,29355.386299999998300,6927837.000000000000000,29355.000000000000000,5117339.000000000000000,2,cool,ESSFdk1cool,81797.382308971195016,5357301.211353843100369
45,26,435.000000000000000,ESSF,dk,1, ,NDT3,ESSFdk1,ESSFdk 1,Engelmann Spruce -- Subalpine Fir,Dry Cool,Elk, ,Ecosystems with frequent stand-initiating events,6927837.433699999935925,29355.386299999998300,6927837.000000000000000,29355.000000000000000,5117339.000000000000000,5,cool,ESSFdk1cool,1513.323685154461145,12716.574577932477041
46,26,435.000000000000000,ESSF,dk,1, ,NDT3,ESSFdk1,ESSFdk 1,Engelmann Spruce -- Subalpine Fir,Dry Cool,Elk, ,Ecosystems with frequent stand-initiating events,6927837.433699999935925,29355.386299999998300,6927837.000000000000000,29355.000000000000000,5117339.000000000000000,6,warm,ESSFdk1warm,69811.111022514276556,1555952.307088282890618
47,27,435.000000000000000,ESSF,dk,1, ,NDT3,ESSFdk1,ESSFdk 1,Engelmann Spruce -- Subalpine Fir,Dry Cool,Elk, ,Ecosystems with frequent stand-initiating events,15479126.860700000077486,53148.293700000001991,15479127.000000000000000,53148.000000000000000,5117337.000000000000000,2,cool,ESSFdk1cool,126817.264611409744248,13935209.327586755156517
