OID_,FID_BEC_ROI,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,FID_Historical_Fire_Perimeters_ROI,FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE_1,OBJECTID_1,AREA_SQM_1,FEAT_LEN_1,Shape_Length,Shape_Area,Calculate_Size_Ha
33,228,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,511085355.365599989891052,3416724.483000000007451,511085355.000000000000000,3416724.000000000000000,5121042.000000000000000,1139,N10355,0.000000000000000,2003,Lightning,2003-N10355,587.600000000000023,LANDSAT5, ,20070517150824,20030805,digitized,JA70003000,0.000000000000000,1773453.000000000000000,5876415.381699999794364,16597.620299999998679,9098.169991314116487,781514.198596709524281,78.151419859670952
34,228,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,511085355.365599989891052,3416724.483000000007451,511085355.000000000000000,3416724.000000000000000,5121042.000000000000000,1254,N10262,2015080101.000000000000000,2015,Lightning,2015-N10262,226.300000000000011,2015 ROLLOVER,20150801,20150801150311,20150702,OZIX,JA70003000,0.000000000000000,1776853.000000000000000,2263801.924999999813735,6646.664099999999962,6688.789165157794741,437025.550057849264704,43.702555005784930
35,228,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,511085355.365599989891052,3416724.483000000007451,511085355.000000000000000,3416724.000000000000000,5121042.000000000000000,1324,N11676,2017090301.000000000000000,2017,Lightning,2017-N11676,322.800000000000011,2017 ROLLOVER,20170903,20170905221316,20170810,Non-corrected airborne GPS,JA70003000,0.000000000000000,1777440.000000000000000,3228034.092900000046939,10765.254399999999805,7702.688091285293922,1048453.216237810906023,104.845321623781089
36,234,435.000000000000000,MS,dk, , ,NDT3,MSdk,MS  dk,Montane Spruce,Dry Cool, , ,Ecosystems with frequent stand-initiating events,19886483.862199999392033,66496.177100000000792,19886484.000000000000000,66496.000000000000000,5125152.000000000000000,597,454,0.000000000000000,1934,Lightning,1934-454,12614.399999999999636,linens, ,20070517130647,19340814,digitised,JA70003000,0.000000000000000,1762474.000000000000000,126144545.877100005745888,88320.283899999994901,49749.406488112908846,13457350.293817069381475,1345.735029381706909
37,234,435.000000000000000,MS,dk, , ,NDT3,MSdk,MS  dk,Montane Spruce,Dry Cool, , ,Ecosystems with frequent stand-initiating events,19886483.862199999392033,66496.177100000000792,19886484.000000000000000,66496.000000000000000,5125152.000000000000000,691,793,0.000000000000000,1940,Lightning,1940-793,2161.900000000000091,linens, ,20070517130609,19400805,digitised,JA70003000,0.000000000000000,1764705.000000000000000,21619322.087600000202656,19307.614300000001094,947.315335721697352,34979.313759631710127,3.497931375963171
38,235,435.000000000000000,MS,dk, , ,NDT3,MSdk,MS  dk,Montane Spruce,Dry Cool, , ,Ecosystems with frequent stand-initiating events,48244974.517200000584126,83758.280899999997928,48244975.000000000000000,83758.000000000000000,5125151.000000000000000,312,415,0.000000000000000,1930,Lightning,1930-415,11343.600000000000364,linens, ,20070517130648,19300831,digitised,JA70003000,0.000000000000000,1760593.000000000000000,113436031.583499997854233,45116.258199999996577,17571.621069911438099,5341736.401442883536220,534.173640144288356
39,235,435.000000000000000,MS,dk, , ,NDT3,MSdk,MS  dk,Montane Spruce,Dry Cool, , ,Ecosystems with frequent stand-initiating events,48244974.517200000584126,83758.280899999997928,48244975.000000000000000,83758.000000000000000,5125151.000000000000000,403,669,0.000000000000000,1931,Lightning,1931-669,5823.300000000000182,linens, ,20070517130648,19310812,digitised,JA70003000,0.000000000000000,1761243.000000000000000,58233344.576999999582767,47897.103799999997136,26181.692812847941241,17103955.271336808800697,1710.395527133681071
40,236,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,273312106.470099985599518,1382238.220599999884143,273312107.000000000000000,1382238.000000000000000,5117741.000000000000000,96,205,0.000000000000000,1922,Lightning,1922-205,429.199999999999989,linens, ,20070517130621,19220825,digitised,JA70003000,0.000000000000000,1757064.000000000000000,4292877.638399999588728,8505.849799999999959,1107.041688379553307,13797.975662442499015,1.379797566244250
41,236,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,273312106.470099985599518,1382238.220599999884143,273312107.000000000000000,1382238.000000000000000,5117741.000000000000000,312,415,0.000000000000000,1930,Lightning,1930-415,11343.600000000000364,linens, ,20070517130648,19300831,digitised,JA70003000,0.000000000000000,1760593.000000000000000,113436031.583499997854233,45116.258199999996577,154336.687281177495606,22327566.023943621665239,2232.756602394362289
42,236,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,273312106.470099985599518,1382238.220599999884143,273312107.000000000000000,1382238.000000000000000,5117741.000000000000000,403,669,0.000000000000000,1931,Lightning,1931-669,5823.300000000000182,linens, ,20070517130648,19310812,digitised,JA70003000,0.000000000000000,1761243.000000000000000,58233344.576999999582767,47897.103799999997136,34.365532727561266,29.341910280823381,0.002934191028082
