OID_,FID_BEC_ROI,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,FID_PEM_fire_group,fire_group,BEC_PEM,Shape_Length,Shape_Area,Calculate_Area_Ha
26,20,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,1522500.000000000000000,10300.000000000000000,1522500.000000000000000,10300.000000000000000,5117486.000000000000000,2,cool,ESSFdkpcool,9069.876993078738451,599471.454441153327934,59.947145444115336
27,20,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,1522500.000000000000000,10300.000000000000000,1522500.000000000000000,10300.000000000000000,5117486.000000000000000,6,warm,ESSFdkpwarm,1740.711586618790307,4955.982376452115204,0.495598237645212
28,21,435.000000000000000,ESSF,dk,1, ,NDT3,ESSFdk1,ESSFdk 1,Engelmann Spruce -- Subalpine Fir,Dry Cool,Elk, ,Ecosystems with frequent stand-initiating events,5577644.564000000245869,23810.017700000000332,5577645.000000000000000,23810.000000000000000,5117338.000000000000000,2,cool,ESSFdk1cool,49555.526823076470464,3182407.780377450864762,318.240778037745088
29,21,435.000000000000000,ESSF,dk,1, ,NDT3,ESSFdk1,ESSFdk 1,Engelmann Spruce -- Subalpine Fir,Dry Cool,Elk, ,Ecosystems with frequent stand-initiating events,5577644.564000000245869,23810.017700000000332,5577645.000000000000000,23810.000000000000000,5117338.000000000000000,5,cool,ESSFdk1cool,1343.934714721171531,24178.429797728455014,2.417842979772846
30,21,435.000000000000000,ESSF,dk,1, ,NDT3,ESSFdk1,ESSFdk 1,Engelmann Spruce -- Subalpine Fir,Dry Cool,Elk, ,Ecosystems with frequent stand-initiating events,5577644.564000000245869,23810.017700000000332,5577645.000000000000000,23810.000000000000000,5117338.000000000000000,6,warm,ESSFdk1warm,27352.224406605535478,588613.961716647143476,58.861396171664715
31,23,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,645000.000000000000000,5900.000000000000000,645000.000000000000000,5900.000000000000000,5117483.000000000000000,2,cool,ESSFdkpcool,6481.190686323565387,329283.330140598292928,32.928333014059831
32,23,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,645000.000000000000000,5900.000000000000000,645000.000000000000000,5900.000000000000000,5117483.000000000000000,6,warm,ESSFdkpwarm,2101.577650363253724,6469.296016865047932,0.646929601686505
33,24,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,1234907.506700000027195,12501.073300000000017,1234908.000000000000000,12501.000000000000000,5117723.000000000000000,2,cool,ESSFdkwcool,12059.541798855614616,385097.445538518717512,38.509744553851874
34,24,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,1234907.506700000027195,12501.073300000000017,1234908.000000000000000,12501.000000000000000,5117723.000000000000000,5,cool,ESSFdkwcool,409.293330206071801,5683.023893254949144,0.568302389325495
35,24,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,1234907.506700000027195,12501.073300000000017,1234908.000000000000000,12501.000000000000000,5117723.000000000000000,6,warm,ESSFdkwwarm,7476.758964971390014,149184.481743267358979,14.918448174326736
36,25,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,585004.425000000046566,6599.823199999999815,585004.000000000000000,6600.000000000000000,5120892.000000000000000,2,cool,ESSFwmpcool,1827.127435151769760,33754.984834595095890,3.375498483459510
37,25,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,585004.425000000046566,6599.823199999999815,585004.000000000000000,6600.000000000000000,5120892.000000000000000,6,warm,ESSFwmpwarm,921.993201958939039,2819.433525594934508,0.281943352559493
38,26,435.000000000000000,ESSF,dk,1, ,NDT3,ESSFdk1,ESSFdk 1,Engelmann Spruce -- Subalpine Fir,Dry Cool,Elk, ,Ecosystems with frequent stand-initiating events,6927837.433699999935925,29355.386299999998300,6927837.000000000000000,29355.000000000000000,5117339.000000000000000,2,cool,ESSFdk1cool,82055.039544828818180,3622799.829932013992220,362.279982993201429
39,26,435.000000000000000,ESSF,dk,1, ,NDT3,ESSFdk1,ESSFdk 1,Engelmann Spruce -- Subalpine Fir,Dry Cool,Elk, ,Ecosystems with frequent stand-initiating events,6927837.433699999935925,29355.386299999998300,6927837.000000000000000,29355.000000000000000,5117339.000000000000000,5,cool,ESSFdk1cool,814.039311597145343,4744.837809809372629,0.474483780980937
