OID_,FID_BEC_ROI,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,FID_PEM_fire_group,fire_group,BEC_PEM,Shape_Length,Shape_Area,Calculate_Area_Ha
26,226,435.000000000000000,ESSF,wh,2, ,NDT2,ESSFwh2,ESSFwh 2,Engelmann Spruce -- Subalpine Fir,Wet Hot,St Mary, ,Ecosystems with infrequent stand-initiating events,265161213.641499996185303,1778273.387199999997392,265161214.000000000000000,1778273.000000000000000,5120593.000000000000000,6,warm,ESSFwh2warm,184.740331278282213,2116.489183968180441,0.211648918396818
27,227,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,1,cool,ESSFwm2cool,1538428.300036486005411,132470820.244819492101669,13247.082024481949702
28,227,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,5,cool,ESSFwm2cool,93332.071298712908174,1383497.603777149692178,138.349760377714972
29,227,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,6,warm,ESSFwm2warm,1268638.184783214936033,45234297.546303264796734,4523.429754630326897
30,228,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,511085355.365599989891052,3416724.483000000007451,511085355.000000000000000,3416724.000000000000000,5121042.000000000000000,1,cool,ESSFwmwcool,1743814.573619840200990,93339497.791506037116051,9333.949779150603717
31,228,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,511085355.365599989891052,3416724.483000000007451,511085355.000000000000000,3416724.000000000000000,5121042.000000000000000,3,cool,ESSFwmwcool,94288.470276300795376,11053738.162732988595963,1105.373816273298871
32,228,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,511085355.365599989891052,3416724.483000000007451,511085355.000000000000000,3416724.000000000000000,5121042.000000000000000,5,cool,ESSFwmwcool,68253.898703808474238,1180204.907027261331677,118.020490702726136
33,228,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,511085355.365599989891052,3416724.483000000007451,511085355.000000000000000,3416724.000000000000000,5121042.000000000000000,6,warm,ESSFwmwwarm,1139590.646080992184579,33322336.415843974798918,3332.233641584397446
34,229,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,3970000.000000000000000,19200.000000000000000,3970000.000000000000000,19200.000000000000000,5121995.000000000000000,1,cool,IMAuncool,8621.391048859624789,408534.704871897643898,40.853470487189767
35,230,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,54787133.313100002706051,180251.290600000007544,54787133.000000000000000,180251.000000000000000,5122093.000000000000000,1,cool,IMAuncool,7211.067552718687693,120147.907611361588351,12.014790761136160
36,230,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,54787133.313100002706051,180251.290600000007544,54787133.000000000000000,180251.000000000000000,5122093.000000000000000,3,cool,IMAuncool,8368.657156197185031,642148.438498985487968,64.214843849898557
37,230,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,54787133.313100002706051,180251.290600000007544,54787133.000000000000000,180251.000000000000000,5122093.000000000000000,5,cool,IMAuncool,488.676762069822928,3779.640544787092040,0.377964054478709
38,230,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,54787133.313100002706051,180251.290600000007544,54787133.000000000000000,180251.000000000000000,5122093.000000000000000,6,warm,IMAunwarm,6551.086280579842423,81043.824035165715031,8.104382403516572
39,231,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,1807500.000000000000000,13400.000000000000000,1807500.000000000000000,13400.000000000000000,5122015.000000000000000,1,cool,IMAuncool,6246.462352984205609,318811.119716751156375,31.881111971675118
40,232,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,10520000.023399999365211,36099.890800000001036,10520000.000000000000000,36100.000000000000000,5122044.000000000000000,1,cool,IMAuncool,2923.485073572378496,79826.326739718948375,7.982632673971895
41,233,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,360000.000000000000000,4100.000000000000000,360000.000000000000000,4100.000000000000000,5122006.000000000000000,1,cool,IMAuncool,1644.320653614621051,36123.614842518087244,3.612361484251809
42,234,435.000000000000000,MS,dk, , ,NDT3,MSdk,MS  dk,Montane Spruce,Dry Cool, , ,Ecosystems with frequent stand-initiating events,19886483.862199999392033,66496.177100000000792,19886484.000000000000000,66496.000000000000000,5125152.000000000000000,3,cool,MSdkcool,106404.137097641680157,18087547.961659837514162,1808.754796165983862
43,234,435.000000000000000,MS,dk, , ,NDT3,MSdk,MS  dk,Montane Spruce,Dry Cool, , ,Ecosystems with frequent stand-initiating events,19886483.862199999392033,66496.177100000000792,19886484.000000000000000,66496.000000000000000,5125152.000000000000000,5,cool,MSdkcool,2287.563836242113211,42743.496362871977908,4.274349636287198
44,234,435.000000000000000,MS,dk, , ,NDT3,MSdk,MS  dk,Montane Spruce,Dry Cool, , ,Ecosystems with frequent stand-initiating events,19886483.862199999392033,66496.177100000000792,19886484.000000000000000,66496.000000000000000,5125152.000000000000000,6,warm,MSdkwarm,63606.139143487933325,1163495.331676987931132,116.349533167698795
45,235,435.000000000000000,MS,dk, , ,NDT3,MSdk,MS  dk,Montane Spruce,Dry Cool, , ,Ecosystems with frequent stand-initiating events,48244974.517200000584126,83758.280899999997928,48244975.000000000000000,83758.000000000000000,5125151.000000000000000,1,cool,MSdkcool,85766.612955814169254,16890557.347032584249973,1689.055734703258395
46,235,435.000000000000000,MS,dk, , ,NDT3,MSdk,MS  dk,Montane Spruce,Dry Cool, , ,Ecosystems with frequent stand-initiating events,48244974.517200000584126,83758.280899999997928,48244975.000000000000000,83758.000000000000000,5125151.000000000000000,3,cool,MSdkcool,98077.697743039971101,25543970.476911593228579,2554.397047691159514
47,235,435.000000000000000,MS,dk, , ,NDT3,MSdk,MS  dk,Montane Spruce,Dry Cool, , ,Ecosystems with frequent stand-initiating events,48244974.517200000584126,83758.280899999997928,48244975.000000000000000,83758.000000000000000,5125151.000000000000000,5,cool,MSdkcool,1378.219740349261201,23882.567201273304818,2.388256720127331
48,235,435.000000000000000,MS,dk, , ,NDT3,MSdk,MS  dk,Montane Spruce,Dry Cool, , ,Ecosystems with frequent stand-initiating events,48244974.517200000584126,83758.280899999997928,48244975.000000000000000,83758.000000000000000,5125151.000000000000000,6,warm,MSdkwarm,109747.831822722466313,2733610.366181800141931,273.361036618180037
49,236,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,273312106.470099985599518,1382238.220599999884143,273312107.000000000000000,1382238.000000000000000,5117741.000000000000000,1,cool,ESSFdkwcool,621809.157225050730631,63232392.722350843250751,6323.239272235085082
50,236,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,273312106.470099985599518,1382238.220599999884143,273312107.000000000000000,1382238.000000000000000,5117741.000000000000000,3,cool,ESSFdkwcool,130504.751587544800714,13732987.361756587401032,1373.298736175658860
51,236,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,273312106.470099985599518,1382238.220599999884143,273312107.000000000000000,1382238.000000000000000,5117741.000000000000000,5,cool,ESSFdkwcool,940.571696156373037,15707.737582745034160,1.570773758274503
