OID_,FID_BEC_ROI,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,FID_Historical_Fire_Perimeters_ROI,FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE_1,OBJECTID_1,AREA_SQM_1,FEAT_LEN_1,Shape_Length,Shape_Area,Calculate_Size_Ha
21,101,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,110122798.298399999737740,666800.300700000021607,110122798.000000000000000,666800.000000000000000,5117745.000000000000000,878,N00805,0.000000000000000,1967,Lightning,1967-N00805,144.099999999999994,mylars, ,20070517130632,19670822,digitised,JA70003000,0.000000000000000,1769063.000000000000000,1441368.759400000097230,5484.030800000000454,6067.968018243277584,730180.668140427907929,73.018066814042797
22,101,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,110122798.298399999737740,666800.300700000021607,110122798.000000000000000,666800.000000000000000,5117745.000000000000000,956,N30027,0.000000000000000,1985,Lightning,1985-N30027,18037.799999999999272,LFDB, ,20070517130643,19850629,digitised,JA70003000,0.000000000000000,1771703.000000000000000,180378990.484200000762939,109097.335600000005797,116206.460639190525399,17058080.765476848930120,1705.808076547685005
23,101,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,110122798.298399999737740,666800.300700000021607,110122798.000000000000000,666800.000000000000000,5117745.000000000000000,991,N20035,0.000000000000000,1985,Lightning,1985-N20035,2511.599999999999909,LFDB, ,20070517130643,19850702,digitised,JA70003000,0.000000000000000,1771691.000000000000000,25116763.145899999886751,38630.202400000001944,5896.104606053350835,493897.670073427725583,49.389767007342776
24,101,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,110122798.298399999737740,666800.300700000021607,110122798.000000000000000,666800.000000000000000,5117745.000000000000000,1323,N11664,2017091602.000000000000000,2017,Lightning,2017-N11664,11763.700000000000728,2017 ROLLOVER,20170916,20170917112212,20170808,Hand sketch of any type,JA70003000,0.000000000000000,1777439.000000000000000,117637856.155000001192093,113719.506599999993341,13226.857628151270546,3084643.609409810975194,308.464360940981123
25,108,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,71072755.495100006461143,422504.167799999995623,71072756.000000000000000,422504.000000000000000,5117734.000000000000000,178,136,0.000000000000000,1924,Person,1924-136,672.000000000000000,linens, ,20070517130621,19240713,digitised,JA70003000,0.000000000000000,1757955.000000000000000,6720397.355200000107288,12566.270800000000236,699.784602549075544,9132.839243369458927,0.913283924336946
26,108,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,71072755.495100006461143,422504.167799999995623,71072756.000000000000000,422504.000000000000000,5117734.000000000000000,292,866,0.000000000000000,1926,Person,1926-866,2204.199999999999818,linens, ,20070517130621,19260731,digitised,JA70003000,0.000000000000000,1759496.000000000000000,22042257.910100001841784,24714.966100000001461,22191.776857831770030,2427417.269552974030375,242.741726955297423
27,108,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,71072755.495100006461143,422504.167799999995623,71072756.000000000000000,422504.000000000000000,5117734.000000000000000,956,N30027,0.000000000000000,1985,Lightning,1985-N30027,18037.799999999999272,LFDB, ,20070517130643,19850629,digitised,JA70003000,0.000000000000000,1771703.000000000000000,180378990.484200000762939,109097.335600000005797,41520.893984515445482,5579977.795715295709670,557.997779571529577
28,108,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,71072755.495100006461143,422504.167799999995623,71072756.000000000000000,422504.000000000000000,5117734.000000000000000,1191,N20658,2008092201.000000000000000,2008,Lightning,2008-N20658,31.100000000000001,OZIX,20080922153209,20080922153209,20080817,GPS-TRACK,JA70003000,0.000000000000000,1774484.000000000000000,310851.594999999972060,4030.575800000000072,1852.816857271497611,80828.436485166632337,8.082843648516663
29,108,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,71072755.495100006461143,422504.167799999995623,71072756.000000000000000,422504.000000000000000,5117734.000000000000000,1193,N20665,2008092301.000000000000000,2008,Lightning,2008-N20665,18.199999999999999,OZIX,20080923094314,20080923094314,20080817,GPS-TRACK,JA70003000,0.000000000000000,1774486.000000000000000,183149.784799999993993,2813.196500000000015,2625.106364565046078,155661.505087423574878,15.566150508742359
30,117,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,32165277.667199999094009,279054.169200000003912,32165278.000000000000000,279054.000000000000000,5117497.000000000000000,292,866,0.000000000000000,1926,Person,1926-866,2204.199999999999818,linens, ,20070517130621,19260731,digitised,JA70003000,0.000000000000000,1759496.000000000000000,22042257.910100001841784,24714.966100000001461,20975.476488391897874,1533290.925163373583928,153.329092516337369
