OID_,FID_BEC_ROI,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,FID_PEM_fire_group,fire_group,BEC_PEM,Shape_Length,Shape_Area
57,532,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,310000.000000000000000,4100.000000000000000,310000.000000000000000,4100.000000000000000,5122493.000000000000000,3,cool,IMAuncool,2176.952949364238975,100254.330229837374645
58,533,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,435000.000000000000000,3800.000000000000000,435000.000000000000000,3800.000000000000000,5122491.000000000000000,3,cool,IMAuncool,1446.160274578051940,61927.593464326440881
59,534,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,107500.000000000000000,1600.000000000000000,107500.000000000000000,1600.000000000000000,5122482.000000000000000,3,cool,IMAuncool,1147.173364139539444,34305.351343001828354
60,535,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,695000.000000000000000,8100.000000000000000,695000.000000000000000,8100.000000000000000,5122479.000000000000000,3,cool,IMAuncool,7559.026020490140581,407465.954386260360479
61,536,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,340000.000000000000000,3700.000000000000000,340000.000000000000000,3700.000000000000000,5122469.000000000000000,3,cool,IMAuncool,3070.844260564708748,155770.273297951353015
62,536,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,340000.000000000000000,3700.000000000000000,340000.000000000000000,3700.000000000000000,5122469.000000000000000,7,warm,IMAunwarm,18.960321383924704,14.755266348870869
63,537,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,964995.775000000023283,7899.831199999999626,964996.000000000000000,7900.000000000000000,5122457.000000000000000,3,cool,IMAuncool,5629.682551027254704,512831.624552480177954
64,537,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,964995.775000000023283,7899.831199999999626,964996.000000000000000,7900.000000000000000,5122457.000000000000000,7,warm,IMAunwarm,37.681677460182996,75.169452705964645
65,538,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,385000.000000000000000,4200.000000000000000,385000.000000000000000,4200.000000000000000,5122450.000000000000000,3,cool,IMAuncool,4204.164961960968867,291798.488378478970844
66,539,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,150000.000000000000000,2900.000000000000000,150000.000000000000000,2900.000000000000000,5122444.000000000000000,3,cool,IMAuncool,2898.763925605822351,149897.142752564977854
67,546,435.000000000000000,ICH,mk,5, ,NDT3,ICHmk5,ICH mk 5,Interior Cedar -- Hemlock,Moist Cool,Kootenay, ,Ecosystems with frequent stand-initiating events,26063493.651200000196695,58915.792600000000675,26063493.000000000000000,58916.000000000000000,5121531.000000000000000,3,cool,ICHmk5cool,99997.945315730001312,24384861.498288955539465
68,546,435.000000000000000,ICH,mk,5, ,NDT3,ICHmk5,ICH mk 5,Interior Cedar -- Hemlock,Moist Cool,Kootenay, ,Ecosystems with frequent stand-initiating events,26063493.651200000196695,58915.792600000000675,26063493.000000000000000,58916.000000000000000,5121531.000000000000000,5,cool,ICHmk5cool,1375.784485929251559,22146.433973363622499
69,546,435.000000000000000,ICH,mk,5, ,NDT3,ICHmk5,ICH mk 5,Interior Cedar -- Hemlock,Moist Cool,Kootenay, ,Ecosystems with frequent stand-initiating events,26063493.651200000196695,58915.792600000000675,26063493.000000000000000,58916.000000000000000,5121531.000000000000000,7,warm,ICHmk5warm,71292.802055319509236,1640401.863847783533856
70,574,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,2606250.000000000000000,7552.691200000000208,2606250.000000000000000,7553.000000000000000,5117377.000000000000000,3,cool,ESSFdk2cool,9119.140938447839289,59041.065741771664761
71,574,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,2606250.000000000000000,7552.691200000000208,2606250.000000000000000,7553.000000000000000,5117377.000000000000000,5,cool,ESSFdk2cool,350.102853089241080,3125.497194552917790
72,574,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,2606250.000000000000000,7552.691200000000208,2606250.000000000000000,7553.000000000000000,5117377.000000000000000,7,warm,ESSFdk2warm,10198.275031738394318,2542374.528027609921992
73,576,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,2336250.010499999858439,8889.087299999999232,2336250.000000000000000,8889.000000000000000,5117379.000000000000000,3,cool,ESSFdk2cool,17590.095641150775919,383741.167035657796077
74,576,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,2336250.010499999858439,8889.087299999999232,2336250.000000000000000,8889.000000000000000,5117379.000000000000000,5,cool,ESSFdk2cool,1350.501215154417650,34374.603781834659458
75,576,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,2336250.010499999858439,8889.087299999999232,2336250.000000000000000,8889.000000000000000,5117379.000000000000000,7,warm,ESSFdk2warm,17084.171123584754241,1916594.933015833608806
76,580,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,2462500.000000000000000,21700.000000000000000,2462500.000000000000000,21700.000000000000000,5117577.000000000000000,3,cool,ESSFdkpcool,21531.791051296688238,1518634.421682809712365
77,580,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,2462500.000000000000000,21700.000000000000000,2462500.000000000000000,21700.000000000000000,5117577.000000000000000,5,cool,ESSFdkpcool,5204.882033141779175,93562.906791232060641
78,580,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,2462500.000000000000000,21700.000000000000000,2462500.000000000000000,21700.000000000000000,5117577.000000000000000,7,warm,ESSFdkpwarm,22503.018881299001805,848680.250843944842927
79,581,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,162500.000000000000000,2600.000000000000000,162500.000000000000000,2600.000000000000000,5122342.000000000000000,3,cool,IMAuncool,2598.649976856338071,162393.450260034092935
80,583,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,895000.000000000000000,6600.000000000000000,895000.000000000000000,6600.000000000000000,5122360.000000000000000,3,cool,IMAuncool,8542.271364105974499,821378.719095020787790
