OID_,FID_BEC_PEM_Purcell,FID_BEC_ROI,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,FID_PEM_fire_group,fire_group,BEC_PEM,FID_HFP_Purcell,FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE_1,OBJECTID_12,AREA_SQM_1,FEAT_LEN_1,Shape_Length,Shape_Area,Calculate_Size_Ha
21,31,227,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,1,cool,ESSFwm2cool,82,N10326,0.000000000000000,2006,Lightning,2006-N10326,75.099999999999994,LANDSAT5,20060828,20071025161803,20060724,digitized,JA70003000,0.000000000000000,1773840.000000000000000,751481.599500000011176,5429.617299999999886,4003.557466440253847,232692.426126977836248,23.269242612697784
22,31,227,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,1,cool,ESSFwm2cool,83,N10355,0.000000000000000,2003,Lightning,2003-N10355,587.600000000000023,LANDSAT5, ,20070517150824,20030805,digitized,JA70003000,0.000000000000000,1773453.000000000000000,5876415.381699999794364,16597.620299999998679,25580.320607301109703,986066.487339669256471,98.606648733966935
23,31,227,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,1,cool,ESSFwm2cool,88,N10262,2015080101.000000000000000,2015,Lightning,2015-N10262,226.300000000000011,2015 ROLLOVER,20150801,20150801150311,20150702,OZIX,JA70003000,0.000000000000000,1776853.000000000000000,2263801.924999999813735,6646.664099999999962,21194.699562125591910,1189998.678666847059503,118.999867866684710
24,31,227,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,1,cool,ESSFwm2cool,89,N10279,2015081001.000000000000000,2015,Lightning,2015-N10279,80.500000000000000,2015 ROLLOVER,20150810,20150811113510,20150704,OZIX,JA70003000,0.000000000000000,1776856.000000000000000,805498.135699999984354,4269.456299999999828,3243.505265197833069,212411.060507671296364,21.241106050767129
25,31,227,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,1,cool,ESSFwm2cool,95,N11676,2017090301.000000000000000,2017,Lightning,2017-N11676,322.800000000000011,2017 ROLLOVER,20170903,20170905221316,20170810,Non-corrected airborne GPS,JA70003000,0.000000000000000,1777440.000000000000000,3228034.092900000046939,10765.254399999999805,14571.115049594114680,921313.779053499689326,92.131377905349979
26,32,227,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,5,cool,ESSFwm2cool,30,433,0.000000000000000,1934,Lightning,1934-433,1292.200000000000045,linens, ,20070517130602,19340820,digitised,JA70003000,0.000000000000000,1762452.000000000000000,12922477.912200000137091,24104.304000000000087,3557.873562206354563,54158.932749418425374,5.415893274941843
27,32,227,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,5,cool,ESSFwm2cool,34,280,0.000000000000000,1938,Lightning,1938-280,4435.500000000000000,linens, ,20070517130602,19380807,digitised,JA70003000,0.000000000000000,1763664.000000000000000,44355290.767399996519089,56960.750699999996868,1463.967008415663258,12210.837884453236256,1.221083788445324
28,32,227,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,5,cool,ESSFwm2cool,35,570,0.000000000000000,1936,Lightning,1936-570,759.899999999999977,linens, ,20070517130602,19360809,digitised,JA70003000,0.000000000000000,1763125.000000000000000,7599242.663999999873340,10768.344499999999243,9.421219422224862,3.514221691570373,0.000351422169157
29,32,227,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,5,cool,ESSFwm2cool,38,405,0.000000000000000,1940,Lightning,1940-405,2361.699999999999818,linens, ,20070517130609,19400710,digitised,JA70003000,0.000000000000000,1764574.000000000000000,23617661.295200001448393,41085.929100000001199,633.062625182286183,5640.617705127101544,0.564061770512710
30,32,227,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,5,cool,ESSFwm2cool,41,355,0.000000000000000,1946,Lightning,1946-355,57.899999999999999,linens, ,20070517130605,19460815,digitised,JA70003000,0.000000000000000,1765834.000000000000000,579934.295399999944493,2928.246700000000146,112.543070855661199,313.850297089598428,0.031385029708960
31,32,227,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,5,cool,ESSFwm2cool,76,N10147,0.000000000000000,1996,Lightning,1996-N10147,52.600000000000001,fire centre, ,20070517130640,19960810,digitised,JA70003000,0.000000000000000,1772982.000000000000000,526474.370699999970384,3282.704499999999825,2297.333922270650874,29349.233392806680058,2.934923339280668
32,32,227,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,5,cool,ESSFwm2cool,82,N10326,0.000000000000000,2006,Lightning,2006-N10326,75.099999999999994,LANDSAT5,20060828,20071025161803,20060724,digitized,JA70003000,0.000000000000000,1773840.000000000000000,751481.599500000011176,5429.617299999999886,426.368763393416828,6336.670331446073760,0.633667033144607
33,32,227,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,5,cool,ESSFwm2cool,83,N10355,0.000000000000000,2003,Lightning,2003-N10355,587.600000000000023,LANDSAT5, ,20070517150824,20030805,digitized,JA70003000,0.000000000000000,1773453.000000000000000,5876415.381699999794364,16597.620299999998679,3729.318851269086736,56397.283749904228898,5.639728374990423
34,32,227,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,5,cool,ESSFwm2cool,88,N10262,2015080101.000000000000000,2015,Lightning,2015-N10262,226.300000000000011,2015 ROLLOVER,20150801,20150801150311,20150702,OZIX,JA70003000,0.000000000000000,1776853.000000000000000,2263801.924999999813735,6646.664099999999962,99.963046206606606,624.538152729799549,0.062453815272980
35,32,227,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,5,cool,ESSFwm2cool,95,N11676,2017090301.000000000000000,2017,Lightning,2017-N11676,322.800000000000011,2017 ROLLOVER,20170903,20170905221316,20170810,Non-corrected airborne GPS,JA70003000,0.000000000000000,1777440.000000000000000,3228034.092900000046939,10765.254399999999805,179.799506001207533,733.604256244078556,0.073360425624408
36,33,227,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,6,warm,ESSFwm2warm,29,560,0.000000000000000,1934,Lightning,1934-560,12.100000000000000,linens, ,20070517130602,20070516,digitised,JA70003000,0.000000000000000,1762523.000000000000000,121727.750100000004750,1314.798000000000002,511.934617006621750,6255.057240747190917,0.625505724074719
37,33,227,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,6,warm,ESSFwm2warm,30,433,0.000000000000000,1934,Lightning,1934-433,1292.200000000000045,linens, ,20070517130602,19340820,digitised,JA70003000,0.000000000000000,1762452.000000000000000,12922477.912200000137091,24104.304000000000087,14081.918833243003974,339831.539099887013435,33.983153909988701
38,33,227,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,6,warm,ESSFwm2warm,34,280,0.000000000000000,1938,Lightning,1938-280,4435.500000000000000,linens, ,20070517130602,19380807,digitised,JA70003000,0.000000000000000,1763664.000000000000000,44355290.767399996519089,56960.750699999996868,25169.300141955489380,844096.820331866736524,84.409682033186684
39,33,227,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,6,warm,ESSFwm2warm,35,570,0.000000000000000,1936,Lightning,1936-570,759.899999999999977,linens, ,20070517130602,19360809,digitised,JA70003000,0.000000000000000,1763125.000000000000000,7599242.663999999873340,10768.344499999999243,9763.113092375191627,238705.108084095612867,23.870510808409563
40,33,227,435.000000000000000,ESSF,wm,2, ,NDT1,ESSFwm2,ESSFwm 2,Engelmann Spruce -- Subalpine Fir,Wet Mild,Purcell, ,Ecosystems with rare stand-initiating events,885052184.674299955368042,3926900.867800000123680,885052185.000000000000000,3926901.000000000000000,5120752.000000000000000,6,warm,ESSFwm2warm,38,405,0.000000000000000,1940,Lightning,1940-405,2361.699999999999818,linens, ,20070517130609,19400710,digitised,JA70003000,0.000000000000000,1764574.000000000000000,23617661.295200001448393,41085.929100000001199,4053.268312731520837,116545.111668463548995,11.654511166846355
