OID_,FID_BEC_PEM_Kootenay_North,FID_BEC_ROI,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,FID_PEM_fire_group,fire_group,BEC_PEM,FID_HFP_Kootenay_North,FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE_1,OBJECTID_12,AREA_SQM_1,FEAT_LEN_1,Shape_Length,Shape_Area,Calculate_Size_Ha
21,29,92,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,2562220.705399999860674,19092.661000000000058,2562221.000000000000000,19093.000000000000000,5122048.000000000000000,2,cool,IMAuncool,35,N30027,0.000000000000000,1985,Lightning,1985-N30027,18037.799999999999272,LFDB, ,20070517130643,19850629,digitised,JA70003000,0.000000000000000,1771703.000000000000000,180378990.484200000762939,109097.335600000005797,1621.632721615324272,55269.044464263737609,5.526904446426374
22,30,92,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,2562220.705399999860674,19092.661000000000058,2562221.000000000000000,19093.000000000000000,5122048.000000000000000,5,cool,IMAuncool,13,411,0.000000000000000,1929,Lightning,1929-411,7952.399999999999636,linens, ,20070517130649,19290721,assumed_shape,JA70003000,0.000000000000000,1760057.000000000000000,79524448.701600000262260,52364.817000000002736,1623.086289136736241,22120.911379467768711,2.212091137946777
23,31,92,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,2562220.705399999860674,19092.661000000000058,2562221.000000000000000,19093.000000000000000,5122048.000000000000000,6,warm,IMAunwarm,13,411,0.000000000000000,1929,Lightning,1929-411,7952.399999999999636,linens, ,20070517130649,19290721,assumed_shape,JA70003000,0.000000000000000,1760057.000000000000000,79524448.701600000262260,52364.817000000002736,13359.348839222788229,251516.089790206722682,25.151608979020672
24,31,92,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,2562220.705399999860674,19092.661000000000058,2562221.000000000000000,19093.000000000000000,5122048.000000000000000,6,warm,IMAunwarm,35,N30027,0.000000000000000,1985,Lightning,1985-N30027,18037.799999999999272,LFDB, ,20070517130643,19850629,digitised,JA70003000,0.000000000000000,1771703.000000000000000,180378990.484200000762939,109097.335600000005797,233.432830629654404,1878.274021040918342,0.187827402104092
25,34,95,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,10881317.619799999520183,83725.753700000001118,10881318.000000000000000,83726.000000000000000,5121035.000000000000000,2,cool,ESSFwmwcool,13,411,0.000000000000000,1929,Lightning,1929-411,7952.399999999999636,linens, ,20070517130649,19290721,assumed_shape,JA70003000,0.000000000000000,1760057.000000000000000,79524448.701600000262260,52364.817000000002736,4069.115059142588507,126139.772787639391026,12.613977278763940
26,34,95,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,10881317.619799999520183,83725.753700000001118,10881318.000000000000000,83726.000000000000000,5121035.000000000000000,2,cool,ESSFwmwcool,35,N30027,0.000000000000000,1985,Lightning,1985-N30027,18037.799999999999272,LFDB, ,20070517130643,19850629,digitised,JA70003000,0.000000000000000,1771703.000000000000000,180378990.484200000762939,109097.335600000005797,1866.133294969841472,28323.306142407709558,2.832330614240771
27,34,95,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,10881317.619799999520183,83725.753700000001118,10881318.000000000000000,83726.000000000000000,5121035.000000000000000,2,cool,ESSFwmwcool,78,N11664,2017091602.000000000000000,2017,Lightning,2017-N11664,11763.700000000000728,2017 ROLLOVER,20170916,20170917112212,20170808,Hand sketch of any type,JA70003000,0.000000000000000,1777439.000000000000000,117637856.155000001192093,113719.506599999993341,24999.397659584508801,892804.912003023084253,89.280491200302308
28,35,95,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,10881317.619799999520183,83725.753700000001118,10881318.000000000000000,83726.000000000000000,5121035.000000000000000,5,cool,ESSFwmwcool,78,N11664,2017091602.000000000000000,2017,Lightning,2017-N11664,11763.700000000000728,2017 ROLLOVER,20170916,20170917112212,20170808,Hand sketch of any type,JA70003000,0.000000000000000,1777439.000000000000000,117637856.155000001192093,113719.506599999993341,511.238022444653268,5068.534150353882069,0.506853415035388
29,36,95,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,10881317.619799999520183,83725.753700000001118,10881318.000000000000000,83726.000000000000000,5121035.000000000000000,6,warm,ESSFwmwwarm,13,411,0.000000000000000,1929,Lightning,1929-411,7952.399999999999636,linens, ,20070517130649,19290721,assumed_shape,JA70003000,0.000000000000000,1760057.000000000000000,79524448.701600000262260,52364.817000000002736,373.813164765271779,3393.591411098548178,0.339359141109855
30,36,95,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,10881317.619799999520183,83725.753700000001118,10881318.000000000000000,83726.000000000000000,5121035.000000000000000,6,warm,ESSFwmwwarm,35,N30027,0.000000000000000,1985,Lightning,1985-N30027,18037.799999999999272,LFDB, ,20070517130643,19850629,digitised,JA70003000,0.000000000000000,1771703.000000000000000,180378990.484200000762939,109097.335600000005797,22.038142677814825,19.699585447416396,0.001969958544742
