OID_,FID_BEC_ROI,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,FID_PEM_fire_group,fire_group,BEC_PEM,Shape_Length,Shape_Area
31,92,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,2562220.705399999860674,19092.661000000000058,2562221.000000000000000,19093.000000000000000,5122048.000000000000000,6,warm,IMAunwarm,17396.655292280651338,312677.383566525997594
32,93,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,2867890.504999999888241,18424.677400000000489,2867891.000000000000000,18425.000000000000000,5122031.000000000000000,2,cool,IMAuncool,11829.641945847435636,1102436.313993132906035
33,93,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,2867890.504999999888241,18424.677400000000489,2867891.000000000000000,18425.000000000000000,5122031.000000000000000,6,warm,IMAunwarm,3950.782133370588326,67555.669673076219624
34,95,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,10881317.619799999520183,83725.753700000001118,10881318.000000000000000,83726.000000000000000,5121035.000000000000000,2,cool,ESSFwmwcool,60519.516112879129651,2716622.725504838395864
35,95,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,10881317.619799999520183,83725.753700000001118,10881318.000000000000000,83726.000000000000000,5121035.000000000000000,5,cool,ESSFwmwcool,1629.870056272059855,19061.112602883942600
36,95,435.000000000000000,ESSF,wmw, , ,NDT1,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland, , ,Ecosystems with rare stand-initiating events,10881317.619799999520183,83725.753700000001118,10881318.000000000000000,83726.000000000000000,5121035.000000000000000,6,warm,ESSFwmwwarm,44746.375406700433814,1634309.728851395659149
37,96,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,204238.610500000009779,2705.144099999999980,204239.000000000000000,2705.000000000000000,5122035.000000000000000,2,cool,IMAuncool,4371.844684700596190,108154.729722819625749
38,96,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,204238.610500000009779,2705.144099999999980,204239.000000000000000,2705.000000000000000,5122035.000000000000000,6,warm,IMAunwarm,3438.428070249383381,94337.334055146304308
39,97,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,1048718.771100000012666,9211.700600000000122,1048719.000000000000000,9212.000000000000000,5120913.000000000000000,2,cool,ESSFwmpcool,9391.598808483760877,1044533.576923867803998
40,97,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,1048718.771100000012666,9211.700600000000122,1048719.000000000000000,9212.000000000000000,5120913.000000000000000,6,warm,ESSFwmpwarm,1854.081943248548214,3064.438545907433763
41,100,435.000000000000000,ESSF,dk,1, ,NDT3,ESSFdk1,ESSFdk 1,Engelmann Spruce -- Subalpine Fir,Dry Cool,Elk, ,Ecosystems with frequent stand-initiating events,42509623.572400003671646,150589.507699999987381,42509624.000000000000000,150590.000000000000000,5117341.000000000000000,2,cool,ESSFdk1cool,176836.425504279701272,8545071.393208043649793
42,100,435.000000000000000,ESSF,dk,1, ,NDT3,ESSFdk1,ESSFdk 1,Engelmann Spruce -- Subalpine Fir,Dry Cool,Elk, ,Ecosystems with frequent stand-initiating events,42509623.572400003671646,150589.507699999987381,42509624.000000000000000,150590.000000000000000,5117341.000000000000000,5,cool,ESSFdk1cool,10549.328421876600260,147023.225019001372857
43,100,435.000000000000000,ESSF,dk,1, ,NDT3,ESSFdk1,ESSFdk 1,Engelmann Spruce -- Subalpine Fir,Dry Cool,Elk, ,Ecosystems with frequent stand-initiating events,42509623.572400003671646,150589.507699999987381,42509624.000000000000000,150590.000000000000000,5117341.000000000000000,6,warm,ESSFdk1warm,174039.160216862830566,10036585.843864658847451
44,101,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,110122798.298399999737740,666800.300700000021607,110122798.000000000000000,666800.000000000000000,5117745.000000000000000,2,cool,ESSFdkwcool,434601.376118624059018,58295632.078149214386940
45,101,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,110122798.298399999737740,666800.300700000021607,110122798.000000000000000,666800.000000000000000,5117745.000000000000000,4,cool,ESSFdkwcool,214513.438992467621574,25756508.321727696806192
46,101,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,110122798.298399999737740,666800.300700000021607,110122798.000000000000000,666800.000000000000000,5117745.000000000000000,5,cool,ESSFdkwcool,8766.673323045499274,113266.445028796879342
47,101,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,110122798.298399999737740,666800.300700000021607,110122798.000000000000000,666800.000000000000000,5117745.000000000000000,6,warm,ESSFdkwwarm,365130.207356265280396,8992008.228644154965878
48,108,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,71072755.495100006461143,422504.167799999995623,71072756.000000000000000,422504.000000000000000,5117734.000000000000000,2,cool,ESSFdkwcool,423668.088226025865879,42873345.791543155908585
49,108,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,71072755.495100006461143,422504.167799999995623,71072756.000000000000000,422504.000000000000000,5117734.000000000000000,5,cool,ESSFdkwcool,7787.562611762141387,80560.445493655104656
50,108,435.000000000000000,ESSF,dkw, , ,NDT3,ESSFdkw,ESSFdkw,Engelmann Spruce -- Subalpine Fir,Dry Cool Woodland, , ,Ecosystems with frequent stand-initiating events,71072755.495100006461143,422504.167799999995623,71072756.000000000000000,422504.000000000000000,5117734.000000000000000,6,warm,ESSFdkwwarm,314345.563920681539457,8817896.660722354426980
51,114,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,6198982.936900000087917,55869.436699999998382,6198983.000000000000000,55869.000000000000000,5117465.000000000000000,2,cool,ESSFdkpcool,39129.187095247485559,3326536.805378305260092
52,114,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,6198982.936900000087917,55869.436699999998382,6198983.000000000000000,55869.000000000000000,5117465.000000000000000,6,warm,ESSFdkpwarm,11852.861569100197812,211196.342123006295878
53,115,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,4006626.142700000200421,30912.729999999999563,4006626.000000000000000,30913.000000000000000,5120905.000000000000000,2,cool,ESSFwmpcool,9399.731567082881156,1024567.757564304396510
54,115,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,4006626.142700000200421,30912.729999999999563,4006626.000000000000000,30913.000000000000000,5120905.000000000000000,6,warm,ESSFwmpwarm,1861.907122776064625,18972.792607438430423
55,117,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,32165277.667199999094009,279054.169200000003912,32165278.000000000000000,279054.000000000000000,5117497.000000000000000,2,cool,ESSFdkpcool,261912.476703849359183,29550963.982472892850637
56,117,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,32165277.667199999094009,279054.169200000003912,32165278.000000000000000,279054.000000000000000,5117497.000000000000000,6,warm,ESSFdkpwarm,3900.738497736723275,11141.661778553214390
57,118,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,14178372.217399999499321,92750.120999999999185,14178372.000000000000000,92750.000000000000000,5122053.000000000000000,2,cool,IMAuncool,93437.238762281238451,13816553.298999227583408
58,119,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,43692.583400000003166,1213.513200000000097,43693.000000000000000,1214.000000000000000,5117459.000000000000000,2,cool,ESSFdkpcool,1371.981839040964132,43211.055294354795478
59,120,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,315000.000000000000000,3000.000000000000000,315000.000000000000000,3000.000000000000000,5122023.000000000000000,2,cool,IMAuncool,3301.572755060110012,314037.443018582474906
