OID_,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,Shape_Length,Shape_Area,Calculate_Area_Ha
31,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,14178372.217399999499321,92750.120999999999185,14178372.000000000000000,92750.000000000000000,5122053.000000000000000,1965.230206056737870,50221.861832241229422,5.022186183224123
32,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,455000.000000000000000,5600.000000000000000,455000.000000000000000,5600.000000000000000,5120855.000000000000000,5596.991743463189778,454652.236049844417721,45.465223604984445
33,435.000000000000000,ESSF,wmp, , ,NDT5,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,7080002.799999999813735,47499.812200000000303,7080003.000000000000000,47500.000000000000000,5120865.000000000000000,56463.420193564605142,4876429.995241126045585,487.642999524112611
34,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,275000.000000000000000,3700.000000000000000,275000.000000000000000,3700.000000000000000,5121948.000000000000000,3748.528951576847248,273507.709705383924302,27.350770970538395
35,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,352500.000000000000000,5100.000000000000000,352500.000000000000000,5100.000000000000000,5121956.000000000000000,278.593314828164068,1210.780917360322519,0.121078091736032
36,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,722500.000000000000000,6500.000000000000000,722500.000000000000000,6500.000000000000000,5121958.000000000000000,2439.397197829599918,46062.245658109241049,4.606224565810924
37,435.000000000000000,ICH,mw,2, ,NDT2,ICHmw2,ICH mw 2,Interior Cedar -- Hemlock,Moist Warm,Slocan, ,Ecosystems with infrequent stand-initiating events,39932830.243799999356270,73671.099799999996321,39932830.000000000000000,73671.000000000000000,5121551.000000000000000,44130.779648875490238,9847271.879222996532917,984.727187922299663
38,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,1335000.000000000000000,13800.000000000000000,1335000.000000000000000,13800.000000000000000,5121968.000000000000000,5825.043986412447339,176703.974711799004581,17.670397471179900
39,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,330000.000000000000000,3300.000000000000000,330000.000000000000000,3300.000000000000000,5121963.000000000000000,2557.846211054077685,96630.564899747361778,9.663056489974737
40,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,1063307.435899999924004,9198.093100000000049,1063307.000000000000000,9198.000000000000000,5121970.000000000000000,209.834995187872977,1816.381497396965869,0.181638149739697
41,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,405000.000000000000000,4700.000000000000000,405000.000000000000000,4700.000000000000000,5121972.000000000000000,1043.050652618901950,14825.888324284107512,1.482588832428411
42,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,9782735.965800000354648,77545.854800000000978,9782736.000000000000000,77546.000000000000000,5117464.000000000000000,91651.382153157770517,5601742.960604288615286,560.174296060428901
43,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,3722944.078399999998510,29949.472099999999045,3722944.000000000000000,29949.000000000000000,5117442.000000000000000,30406.354110157997638,1917269.628571240231395,191.726962857124022
44,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,106439.983800000001793,2051.461699999999837,106440.000000000000000,2051.000000000000000,5117438.000000000000000,2050.782357491857056,106364.581864768610103,10.636458186476862
45,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,526314.792999999946915,7489.013200000000325,526315.000000000000000,7489.000000000000000,5121980.000000000000000,7124.199748130951775,322528.050330830621533,32.252805033083064
46,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,557500.000000000000000,6600.000000000000000,557500.000000000000000,6600.000000000000000,5121983.000000000000000,366.996190752452151,4036.681965062575273,0.403668196506258
47,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,705000.000000000000000,5000.000000000000000,705000.000000000000000,5000.000000000000000,5117440.000000000000000,4998.409435191827470,704510.025979153811932,70.451002597915391
48,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,352500.000000000000000,3500.000000000000000,352500.000000000000000,3500.000000000000000,5121988.000000000000000,3930.946476211445315,311390.654107078851666,31.139065410707886
49,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,2220000.000000000000000,16500.000000000000000,2220000.000000000000000,16500.000000000000000,5117453.000000000000000,16518.105324861444387,2217764.834276849403977,221.776483427684951
50,435.000000000000000,IMA,un, , ,NDT5,IMAun,IMA un,Interior Mountain-heather Alpine,Undifferentiated, , ,Alpine Tundra and Subalpine Parkland ecosystems,118553.594599999996717,2336.131100000000060,118554.000000000000000,2336.000000000000000,5121993.000000000000000,1055.510665639338413,29668.590423333764193,2.966859042333377
51,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,985000.435999999986961,7399.861600000000180,985000.000000000000000,7400.000000000000000,5117454.000000000000000,7397.107127437916461,984296.018186803674325,98.429601818680368
52,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,102500.000000000000000,1900.000000000000000,102500.000000000000000,1900.000000000000000,5117455.000000000000000,1867.871891436651595,100776.470093866126263,10.077647009386613
