OID_,FID_BEC_ROI,FTRCLSSSK,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,MAP_LABEL,BGC_LABEL,ZONE_NAME,SBZNNM,VRNTNM,PHASE_NAME,NTRLDSTRB1,AREA_SQM,FEAT_LEN,FEAT_AREA,FTRLNGTH,OBJECTID,FID_PEM_fire_group,fire_group,BEC_PEM,Shape_Length,Shape_Area,Calculate_Area_Ha
207,1084,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,33354902.449599999934435,35101.019699999997101,33354902.000000000000000,35101.000000000000000,5117384.000000000000000,3,cool,ESSFdk2cool,3446.386968167302712,36.632352077750639,0.003663235207775
208,1084,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,33354902.449599999934435,35101.019699999997101,33354902.000000000000000,35101.000000000000000,5117384.000000000000000,7,warm,ESSFdk2warm,6823.481414223177126,861694.330440848949365,86.169433044084897
209,1087,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,248650901.911300003528595,591273.888900000019930,248650902.000000000000000,591274.000000000000000,5117383.000000000000000,3,cool,ESSFdk2cool,61598.841703849131591,5902358.647324598394334,590.235864732459845
210,1087,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,248650901.911300003528595,591273.888900000019930,248650902.000000000000000,591274.000000000000000,5117383.000000000000000,5,cool,ESSFdk2cool,3044.117721914285084,36422.401927811406495,3.642240192781141
211,1087,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,248650901.911300003528595,591273.888900000019930,248650902.000000000000000,591274.000000000000000,5117383.000000000000000,7,warm,ESSFdk2warm,32715.247775623618509,1774036.602048137225211,177.403660204813718
212,1103,435.000000000000000,ESSF,mmp, , ,NDT5,ESSFmmp,ESSFmmp,Engelmann Spruce -- Subalpine Fir,Moist Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,1357874.241099999984726,10905.532199999999648,1357874.000000000000000,10906.000000000000000,5118187.000000000000000,3,cool,ESSFmmpcool,78.753621274835680,0.121193285229817,0.000012119328523
213,1107,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,1150218.354100000113249,9903.216099999999642,1150218.000000000000000,9903.000000000000000,5117616.000000000000000,3,cool,ESSFdkpcool,2920.495707505180690,61187.230784442283039,6.118723078444229
214,1107,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,1150218.354100000113249,9903.216099999999642,1150218.000000000000000,9903.000000000000000,5117616.000000000000000,7,warm,ESSFdkpwarm,14.064235577305141,2.738153468976329,0.000273815346898
215,1108,435.000000000000000,ESSF,mmp, , ,NDT5,ESSFmmp,ESSFmmp,Engelmann Spruce -- Subalpine Fir,Moist Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,198686.165000000008149,2897.139900000000125,198686.000000000000000,2897.000000000000000,5118192.000000000000000,5,cool,ESSFmmpcool,672.762609399414714,48.396831884531046,0.004839683188453
216,1108,435.000000000000000,ESSF,mmp, , ,NDT5,ESSFmmp,ESSFmmp,Engelmann Spruce -- Subalpine Fir,Moist Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,198686.165000000008149,2897.139900000000125,198686.000000000000000,2897.000000000000000,5118192.000000000000000,7,warm,ESSFmmpwarm,57.526464377810555,0.874542778226435,0.000087454277823
217,1109,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,20626.257399999998597,1023.814600000000041,20626.000000000000000,1024.000000000000000,5117615.000000000000000,5,cool,ESSFdkpcool,1023.599717224743131,20605.560381894600141,2.060556038189460
218,1110,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,39436.435499999999593,980.721400000000017,39436.000000000000000,981.000000000000000,5117614.000000000000000,5,cool,ESSFdkpcool,981.528742932258297,39386.541516112374666,3.938654151611237
219,1110,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,39436.435499999999593,980.721400000000017,39436.000000000000000,981.000000000000000,5117614.000000000000000,7,warm,ESSFdkpwarm,50.719250979272161,17.237217298479326,0.001723721729848
220,1111,435.000000000000000,ESSF,mmp, , ,NDT5,ESSFmmp,ESSFmmp,Engelmann Spruce -- Subalpine Fir,Moist Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,1551665.031999999890104,11658.534799999999450,1551665.000000000000000,11659.000000000000000,5118191.000000000000000,3,cool,ESSFmmpcool,612.618175118510067,3.796458752917720,0.000379645875292
221,1111,435.000000000000000,ESSF,mmp, , ,NDT5,ESSFmmp,ESSFmmp,Engelmann Spruce -- Subalpine Fir,Moist Mild Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,1551665.031999999890104,11658.534799999999450,1551665.000000000000000,11659.000000000000000,5118191.000000000000000,7,warm,ESSFmmpwarm,44.292358033821316,0.148071058587625,0.000014807105859
222,1112,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,838252.389199999975972,10294.841800000000148,838252.000000000000000,10295.000000000000000,5117613.000000000000000,3,cool,ESSFdkpcool,2451.926451428777455,73607.618837553542107,7.360761883755354
223,1112,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,838252.389199999975972,10294.841800000000148,838252.000000000000000,10295.000000000000000,5117613.000000000000000,7,warm,ESSFdkpwarm,70.671860112249533,114.309099109845818,0.011430909910985
224,412,435.000000000000000,IDF,dm,2, ,NDT4,IDFdm2,IDF dm 2,Interior Douglas-fir,Dry Mild,Kootenay, ,Ecosystems with frequent stand-maintaining fires,2154694911.042200088500977,1438185.760100000072271,2154694910.000000000000000,1438186.000000000000000,5121855.000000000000000,7,warm,IDFdm2warm,15.666807100900305,0.009241075921645,0.000000924107592
225,741,435.000000000000000,IDF,xk, , ,NDT4,IDFxk,IDF xk,Interior Douglas-fir,Very Dry Cool, , ,Ecosystems with frequent stand-maintaining fires,381160696.818000018596649,241631.006599999993341,381160697.000000000000000,241631.000000000000000,5121908.000000000000000,7,warm,IDFxkwarm,15.666807100900305,0.009241075921645,0.000000924107592
226,493,435.000000000000000,ESSF,mmw, , ,NDT2,ESSFmmw,ESSFmmw,Engelmann Spruce -- Subalpine Fir,Moist Mild Woodland, , ,Ecosystems with infrequent stand-initiating events,35723577.754000000655651,255337.839999999996508,35723578.000000000000000,255338.000000000000000,5118265.000000000000000,5,cool,ESSFmmwcool,0.846537809599845,0.003602190090768,0.000000360219009
227,493,435.000000000000000,ESSF,mmw, , ,NDT2,ESSFmmw,ESSFmmw,Engelmann Spruce -- Subalpine Fir,Moist Mild Woodland, , ,Ecosystems with infrequent stand-initiating events,35723577.754000000655651,255337.839999999996508,35723578.000000000000000,255338.000000000000000,5118265.000000000000000,7,warm,ESSFmmwwarm,0.846537809599845,0.003602190090768,0.000000360219009
228,515,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,33671962.945799998939037,260118.921499999996740,33671963.000000000000000,260119.000000000000000,5117610.000000000000000,3,cool,ESSFdkpcool,0.224500363328880,0.002919040038736,0.000000291904004
229,515,435.000000000000000,ESSF,dkp, , ,NDT5,ESSFdkp,ESSFdkp,Engelmann Spruce -- Subalpine Fir,Dry Cool Parkland, , ,Alpine Tundra and Subalpine Parkland ecosystems,33671962.945799998939037,260118.921499999996740,33671963.000000000000000,260119.000000000000000,5117610.000000000000000,7,warm,ESSFdkpwarm,0.224500363328880,0.002919040038736,0.000000291904004
230,941,435.000000000000000,IDF,dk,5, ,NDT4,IDFdk5,IDF dk 5,Interior Douglas-fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-maintaining fires,769230999.129699945449829,794595.937500000000000,769230999.000000000000000,794596.000000000000000,5121849.000000000000000,3,cool,IDFdk5cool,8109.597151162035516,44422.727214016653306,4.442272721401666
231,941,435.000000000000000,IDF,dk,5, ,NDT4,IDFdk5,IDF dk 5,Interior Douglas-fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-maintaining fires,769230999.129699945449829,794595.937500000000000,769230999.000000000000000,794596.000000000000000,5121849.000000000000000,7,warm,IDFdk5warm,8109.597151162035516,44422.727214016653306,4.442272721401666
232,1076,435.000000000000000,ESSF,dk,2, ,NDT3,ESSFdk2,ESSFdk 2,Engelmann Spruce -- Subalpine Fir,Dry Cool,Columbia, ,Ecosystems with frequent stand-initiating events,213479991.587000012397766,798872.186600000015460,213479992.000000000000000,798872.000000000000000,5117386.000000000000000,3,cool,ESSFdk2cool,5.878422433421823,0.022597666926542,0.000002259766693
